corridor_ref,our_policy_id,status,summary
"","CO-HP-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-HP-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-HP-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"1-010 Regulatory Compliance","CO-RA-001","COVERED","Licensure, certification, accreditation maintenance."
"","CO-RA-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-RA-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-RA-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-RA-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-RA-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-RA-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"1-001/1-013 Master Control Inventory","EN-CM-001","COVERED","Cross-domain master control catalog."
"1-013 Lifecycle Control","EN-LC-001","COVERED","Cross-domain lifecycle (draft→review→approve→publish→archive)."
"0 Taxonomy Governance","EN-TG-001","COVERED","Domain/subdomain taxonomy governance."
"2-007 / 1-028 Financial Responsibility & Medicare Notices","FN-BC-001","COVERED","Billing integrity; ABN, HHCCN, NOMNC/DENC issuance."
"2-007 ABN","FN-BC-002","COVERED","Advance Beneficiary Notice issuance."
"1-028.B HHCCN","FN-BC-003","COVERED","Home Health Change of Care Notice."
"1-028.C NOMNC/DENC","FN-BC-004","COVERED","Notice of Medicare Non-Coverage; DENC."
"","FN-BC-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-BC-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-BC-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-CM-001","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-CM-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-CM-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-CM-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-CM-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-FP-001","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-FP-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-FP-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-FP-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-FP-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-FP-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","FN-FP-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"1-022/1-023 Contracted Service Providers","GV-EA-001","COVERED","Contracted services governance and review."
"1-024 Written Agreements for Contracted Services","GV-EA-002","COVERED","Required contract terms for all clinical and non-clinical contracts."
"","GV-EA-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","GV-EA-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","GV-EA-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"1-002 Governing Body","GV-GB-001","COVERED","Governing Body authority, composition, oversight of QAPI/finance/compliance."
"1-003 Conflict of Interest","GV-GB-002","COVERED","Annual COI attestation for GB, leadership, and contractors."
"1-005 Public Disclosure Statement","GV-GB-003","COVERED","Annual 42 CFR §420 Subpart C ownership/control disclosure."
"","GV-GB-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","GV-GB-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"1-006 Administrative Qualifications and Responsibilities","GV-OG-001","COVERED","Administrator qualifications, responsibilities, succession."
"1-007/1-008 Appointment & Designation of Administrator","GV-OG-002","COVERED","Administrator appointment and designated alternate."
"1-009 Home Health Administrator","GV-OG-003","COVERED","Administrator scope, reporting line to Governing Body."
"1-015 Use of Organizational Chart","GV-OG-004","COVERED","Current organizational chart, lines of authority."
"1-025/1-026 Scope and Listing of Services","GV-OG-005","COVERED","Defined scope of services and listing of services provided."
"1-013 Development of Policies and Procedures","GV-PM-001","COVERED","P&P lifecycle: development, approval, review, retention."
"","GV-PM-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","GV-PM-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","GV-PM-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","GV-PM-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"3-014 Employee Health","HR-ER-001","COVERED","Pre-hire health screen, TB, immunization."
"","HR-ER-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-ER-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-ER-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-ER-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-ER-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-ER-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-ER-008","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-ER-009","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-000","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-001","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-008","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-009","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-010","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-JD-011","PARTIAL","Subdomain-default crosswalk; SME review required."
"3-003 Hiring / Background Check","HR-TA-001","COVERED","Pre-employment checks: license, OIG/SAM exclusion, criminal."
"3-007 Initial Competency","HR-TA-002","COVERED","Initial role competency before patient assignment."
"","HR-TA-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-TA-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-TA-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-TA-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"3-010 Annual Training","HR-TD-001","COVERED","Annual mandatory training: HIPAA, IPC, EP, abuse, BBP."
"","HR-TD-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-TD-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-TD-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-TD-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-WM-001","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-WM-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-WM-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-WM-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-WM-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-WM-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","HR-WM-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"6-037.B IT Disaster Recovery","IT-DR-001","COVERED","IT DR/BCP aligned to EP plan; RTO/RPO defined."
"","IT-DR-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-DR-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-DR-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-DR-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SA-001","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SA-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SA-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SA-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SA-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"2-014.A HIPAA Security","IT-SC-001","COVERED","HIPAA Security Rule administrative/technical/physical safeguards."
"","IT-SC-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SC-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SC-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SC-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-SC-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"2-014.B Acceptable Use","IT-UP-001","COVERED","Acceptable use of agency systems; BYOD restrictions."
"","IT-UP-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-UP-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","IT-UP-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"6-018 Office Facility Management","OP-FM-001","COVERED","Facility access, maintenance, signage."
"","OP-FM-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-FM-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-FM-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-FM-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"2-003 Admission Criteria and Process","OP-IM-001","COVERED","Referral intake, eligibility verification, F2F, payer check."
"2-008 Complaint/Grievance Process","OP-IM-002","COVERED","Grievance intake (1d), acknowledgment (5d), closure (30d)."
"","OP-IM-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"2-001 Availability of Services","OP-PA-001","COVERED","Service area, hours of operation, after-hours coverage."
"","OP-PA-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-PA-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-PA-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-PA-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"4-001 Scheduling and Visit Management","OP-SL-001","COVERED","Visit scheduling, missed-visit reporting."
"","OP-SL-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-SL-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-SL-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-SL-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-SL-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","OP-SL-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"6-002 Adverse Events / Sentinel","QA-AE-001","COVERED","Sentinel-event response: 24h RCA, 30d action plan, 90d closure."
"","QA-AE-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-AE-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-AE-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"6-001 QAPI Program","QA-PG-001","COVERED","Written, GB-approved, data-driven QAPI program; ≥1 PIP active."
"","QA-PG-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-PG-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"6-001 PIP Charter","QA-PI-001","COVERED","At least one Performance Improvement Project active at all times."
"","QA-PI-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-PI-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-PI-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-PI-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-PI-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-PI-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-SM-001","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-SM-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-SM-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-SM-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","QA-SM-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"6-037 Emergency Management Plan","RM-EP-001","COVERED","All-hazards EP: HVA, communication plan, training, ≥2 exercises/yr, AAR."
"6-009 Infection Control Plan","RM-ER-001","COVERED","Annual IPC plan, surveillance, outbreak reporting."
"6-013 Bag Technique (NEW addendum)","RM-ER-002","COVERED","Bag Technique observed competency on every home visit (REQUIRES REVIEW – new content patched via Builder/Policies/extracted_full)."
"6-029 Bloodborne Pathogens / Hep B","RM-ER-003","COVERED","BBP exposure plan; Hep B vaccine offer/declination; post-exposure flow."
"6-028 TB Exposure Control","RM-ER-004","COVERED","Annual TB risk assessment; baseline + role-based testing."
"6-014/6-015 Patient & Personnel Infection Logs","RM-ER-005","COVERED","Surveillance logs (patient + personnel) reviewed monthly by QAPI."
"6-016 Reporting of Communicable Diseases","RM-ER-006","COVERED","CDPH-mandated reportable diseases; outbreak notifications."
"6-018/6-020 Environmental Safety & Fire Safety — Office","RM-OS-001","COVERED","Environment of Care; office fire safety; extinguisher inspection cycle."
"6-002 Incident Reporting & RCA","RM-OS-002","COVERED","Incident intake → RCA → QAPI loop; sentinel-event escalation."
"6-034/6-035 Personnel Safety / Unsafe Home Visits","RM-OS-003","COVERED","Personnel safety in field; unsafe home visit protocol."
"6-022/6-026 Equipment Management","RM-OS-004","COVERED","Agency-owned + DME equipment management; calibration."
"6-038 Waived Testing","RM-SS-001","COVERED","CLIA-waived testing program (e.g., glucose) competencies."
"6-039 Home Glucose Monitoring","RM-SS-002","COVERED","Glucose monitoring competency, QC, lancet/strip safety."
