defect_id,severity,surface,route,tester_id,professional_identity,personality,new_user_or_power_user,steps_to_reproduce,expected_result,actual_result,artifact_or_task_ids,console_error,screenshot_path,recommended_fix,blocking_status
"AG03-Q1-011","P1","CES Calendar generation","/ces/calendar?event=medication_management_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=medication_management_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-012","P1","CES Calendar generation","/ces/calendar?event=missed_visit_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=missed_visit_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-013","P1","CES Calendar generation","/ces/calendar?event=oasis_accuracy_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=oasis_accuracy_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-014","P1","CES Calendar generation","/ces/calendar?event=orders_alignment_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=orders_alignment_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-015","P1","CES Calendar generation","/ces/calendar?event=pre_bill_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=pre_bill_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-016","P1","CES Calendar generation","/ces/calendar?event=visit_documentation_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=visit_documentation_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-017","P1","CES Calendar generation","/ces/calendar?event=governance_packet_review-20260108-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=governance_packet_review-20260108-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-018","P1","CES Calendar generation","/ces/calendar?event=ep_plan_review-20260115-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=ep_plan_review-20260115-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-019","P1","CES Calendar generation","/ces/calendar?event=ep_staff_training-20260122-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=ep_staff_training-20260122-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-020","P1","CES Calendar generation","/ces/calendar?event=qapi_meeting-20260205-04&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=qapi_meeting-20260205-04","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-021","P1","CES Calendar generation","/ces/calendar?event=authorization_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=authorization_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-022","P1","CES Calendar generation","/ces/calendar?event=care_coordination_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=care_coordination_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-023","P1","CES Calendar generation","/ces/calendar?event=clinical_record_completeness_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=clinical_record_completeness_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-024","P1","CES Calendar generation","/ces/calendar?event=hha_aide_inservice-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=hha_aide_inservice-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-025","P1","CES Calendar generation","/ces/calendar?event=infection_control_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=infection_control_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-026","P1","CES Calendar generation","/ces/calendar?event=license_exclusion_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=license_exclusion_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-027","P1","CES Calendar generation","/ces/calendar?event=medical_necessity_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=medical_necessity_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-028","P1","CES Calendar generation","/ces/calendar?event=medication_management_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=medication_management_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-029","P1","CES Calendar generation","/ces/calendar?event=missed_visit_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=missed_visit_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-030","P1","CES Calendar generation","/ces/calendar?event=oasis_accuracy_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=oasis_accuracy_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-031","P1","CES Calendar generation","/ces/calendar?event=orders_alignment_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=orders_alignment_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-032","P1","CES Calendar generation","/ces/calendar?event=pre_bill_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=pre_bill_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-033","P1","CES Calendar generation","/ces/calendar?event=visit_documentation_audit-20260209-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=visit_documentation_audit-20260209-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-034","P1","CES Calendar generation","/ces/calendar?event=hha_skill_observation-20260225-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=hha_skill_observation-20260225-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-035","P1","CES Calendar generation","/ces/calendar?event=authorization_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=authorization_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-036","P1","CES Calendar generation","/ces/calendar?event=care_coordination_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=care_coordination_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-037","P1","CES Calendar generation","/ces/calendar?event=clinical_record_completeness_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=clinical_record_completeness_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-038","P1","CES Calendar generation","/ces/calendar?event=infection_control_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=infection_control_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-039","P1","CES Calendar generation","/ces/calendar?event=license_exclusion_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=license_exclusion_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
