Folder ID,Full Folder Path,Folder Depth,Folder Name,Files Written
1uAN7S6b4ZPDGQKUjgmzSe11TUaY7kdgB,Drive / Mock Records / MOCK-EVT-Q2-0012_clinician-credential-compliance / 01_FILLED_CARE_INDEED_FORMS,3,01_FILLED_CARE_INDEED_FORMS,1
1ZGUKQF_MngWoZY24XxwyXpGZT__yOhGZ,Drive / Mock Records / mock-clinical-universe / assets,3,assets,0
1KTNKaLXY0Qia0Y4hpH_5LIWVu3_rtpAz,Drive / Mock Records / Mock5_H1 / artifacts,3,artifacts,0
1kRhFCSqf1v9Sjl8vB_nfmmsC1XQn4xHm,Drive / Mock Records / MOCK4-Q1-PASS-CHECKPOINT-20260621-021014 / ces-evidence-metadata,3,ces-evidence-metadata,0
1cKrD39LreN7exB8WcPyupijMPs8hJ1Ip,Drive / Mock Records / MOCK-EVT-Q2-0002_poc-audit / 03_REVIEW_CHECKLISTS,3,03_REVIEW_CHECKLISTS,1
1ZZk2PX4t5Ksbv3W00ETdEMsP8FLcQXOp,Drive / Mock Records / MOCK-EVT-Q2-0002_poc-audit / 05_TRIGGERED_ACTIONS,3,05_TRIGGERED_ACTIONS,6
14gSPOXdNZhRbS-98g93CtQrfQWwkI28l,Drive / Mock Records / MOCK-EVT-Q2-0002_poc-audit / 04_SUPPORTING_PROOFS,3,04_SUPPORTING_PROOFS,8
12S9RRuHfrdLJrH1Nz_e4HO5hcFIryDXR,Drive / Mock Records / MOCK-EVT-Q2-0002_poc-audit / 02_FIELD_SOURCE_CROSSWALKS,3,02_FIELD_SOURCE_CROSSWALKS,1
1zJWsNtMwx3ojosfTL3Xj2eUHX54dllqB,Drive / Mock Records / MOCK-EVT-Q2-0002_poc-audit / 01_FILLED_CARE_INDEED_FORMS,3,01_FILLED_CARE_INDEED_FORMS,1
15o_sbwlxOyMBR7rWHn3v3S4ZdWkTTPSC,Drive / 01_CES / Evidence / Admission,3,Admission,0
1kAhQc8XRKgKns0zc0LQ24x6mRl3XC0mS,Drive / 01_CES / Evidence / 2026,3,2026,0
1WzqAMN4g9Zv_u03WYxuDq0v_KJuTWaEH,Drive / 01_CES / Evidence / Mock,3,Mock,0
1IXV6u9x-etHZ3lYk6aRY2tGS3sdeuOUn,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 6,3,Mock 6,0
1AB_09mPDrR3qj2wxBAYJUbwm_4DcdOjO,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 4,3,Mock 4,0
1WvvWgbqn85ZPaP5HU-Yqp9ZVBB5U7Cru,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 3,3,Mock 3,0
1rAP-MsCOlaslkw7YDbZA7jmp_G3-AFPg,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 2,3,Mock 2,0
1ytMUnqkEwsLh5qSrurElqcq_HSGZLaco,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 1,3,Mock 1,0
1zHqBceWeCwO6sWQUOqCPOghfYN7L9vEY,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 5 H1,3,Mock 5 H1,0
10UayGeKVdctdr4W-Qf7K1ClS3aOwfKGt,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March,3,March,0
19j_We_uZOvNzwpq_BCtb4I4EEve_38oV,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February,3,February,0
1ACIHYpraV0Dau-ObEF103Q2HiwCgXYO0,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January,3,January,0
1pbB0s-Qmhxm0cbSooVxuafJLVKY9xXOy,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / policy_review_annual-20260624-01,3,policy_review_annual-20260624-01,0
1BVjBzFqLDVUHibfPXUz4vA1soJxUJyGR,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / qapi_meeting-20260609-10,3,qapi_meeting-20260609-10,0
1u2n2iZAdDeu5P8D3zpFCyxgZUyGPJeWj,Drive / Mock Records / Mock_6 / Q2 / MOCK-EVT-Q2-0013_soc-audit,4,MOCK-EVT-Q2-0013_soc-audit,2
1dFeL1-RIoslp0FeOX3d_kXo2mZqlHevf,Drive / Mock Records / Mock_6 / Q2 / MOCK-EVT-Q2-0012_clinician-credential-compliance,4,MOCK-EVT-Q2-0012_clinician-credential-compliance,2
1qZyPGS2Yh7UZBSfzueN1zqrs43CSy4C1,Drive / Mock Records / Mock_6 / Q2 / MOCK-EVT-Q2-0011_qapi-trigger,4,MOCK-EVT-Q2-0011_qapi-trigger,2
1_og_SIiiVtN6ganDvLezWJRucMmIj-QQ,Drive / Mock Records / Mock_6 / Q2 / MOCK-EVT-Q2-0002_poc-audit,4,MOCK-EVT-Q2-0002_poc-audit,2
13HvXBZleH1toKREQs5meXuzle50CWblo,Drive / Mock Records / mock-clinical-universe / assets / profile-images,4,profile-images,0
1DQDH1fDXYfe9g-vA_30gfVk9WWULVjp5,Drive / Mock Records / Mock5_H1 / artifacts / May,4,May,232
1VFQEl4RUAp9GtNmfsO_cKRnRKgq_7SVx,Drive / Mock Records / Mock5_H1 / artifacts / February,4,February,102
19pPshLNM4kXPRDS3dnMlELJwagYWqi03,Drive / Mock Records / Mock5_H1 / artifacts / April,4,April,104
16l1qmrssa7NVQPY2Qyd60dlQIPONZDfj,Drive / Mock Records / Mock5_H1 / artifacts / March,4,March,135
1loWwBqy1GxUnc7EVAeObO-GJphGmPZOv,Drive / Mock Records / Mock5_H1 / artifacts / June,4,June,143
1jo1t_oH8tlRjmKIUn3SOac38V9_b76zw,Drive / Mock Records / Mock5_H1 / artifacts / January,4,January,124
14QLHmVbhQAgS9-mNcbKgPeW2F6sQKlVw,Drive / 01_CES / Evidence / Admission / Packets,4,Packets,66
1d2u_Q96L1u4Pycm2uSMvgAKkTMFpXOFR,Drive / 01_CES / Evidence / Admission / Packets,4,Packets,1
1pNqeV9tyYdycLsc2tajDRhpVSOHz_q4s,Drive / 01_CES / Evidence / Admission / Packets,4,Packets,1
1l0V6BsqYBQu9X6y7BK7NViWp34QC3oVB,Drive / 01_CES / Evidence / Admission / Packets,4,Packets,1
1-FxSHMo8lxN71p5csyAFRIipYBv8ammY,Drive / 01_CES / Evidence / Admission / Packets,4,Packets,1
18RBqo__6xRFLrIeyaEYpiJ1lUtvDVTAp,Drive / 01_CES / Evidence / Admission / Packets,4,Packets,1
1I5s_zV5nKRa0aZQ8P3dA97hVViThWTOg,Drive / 01_CES / Evidence / 2026 / June,4,June,0
1474b_2-2JkcftC2j4HRmCkF-REuqn7Lg,Drive / 01_CES / Evidence / 2026 / May,4,May,0
1ySG-KmeEnQ8ysEOZddrP_3xF7COxScXp,Drive / 01_CES / Evidence / Mock / Packets,4,Packets,2
1wEUkaDPzJmw7j1Po-ZB1F29_DuZzxTjP,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 6 / Q2,4,Q2,0
1EOMLYtKJJ4AHjnG9QYfcmKGe5pEHnWvy,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 4 / March,4,March,0
16A4Vbc2frorZDaZvBjSnbH6huMLfxTm1,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 4 / February,4,February,0
1-ye5AR7TM1WlMyEasJ9EsMVC-6cdTzj2,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 4 / January,4,January,0
1UeBUMXPU8-Vi6Kb7ZbBoZg8myczlh-uJ,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 3 / March,4,March,0
12JsFwwNcOMYWHOveR4AE9sqQIfKVk_6C,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 3 / February,4,February,0
17AE9GWg9-iHFGgicQiVdo8axRNfHrttp,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 3 / January,4,January,0
1Jv_hjkTIphnlTvlZxuuE3DYhcC06Xivt,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 2 / March,4,March,0
1sgehAOp3yTfrewHgHBHICtcYkJ7EEezB,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 2 / February,4,February,0
1vteYVQKKVMVc7p-RMKEZ5Oh5HvHL_RRl,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 2 / January,4,January,0
1ZixGlelTXS4UgqU8L0CW9QrsIKyjYCWU,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 1 / February,4,February,0
1_yxI_KEZYpGCSKy0GN7dJSShES_yYM88,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 1 / January,4,January,0
10dRLMhvVudD5ZVNWcPXo-QUPlUjL_O2-,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 1 / March,4,March,0
1WyXbLMYVrYT3dLvdPQisiqLPE_F5Ig57,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 1 / _run-manifest,4,_run-manifest,0
1cWRvkfFZyQc72ZcT8Nz04WYj4LysmkF-,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / Mock 5 H1 / Brad Training Mock Test,4,Brad Training Mock Test,0
1BENsdhkZ7XvTd2tqKHlqoRzmdzAvXPiS,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / hhcahps_filing-20260331-01,4,hhcahps_filing-20260331-01,0
1g0kfhcDSNYIkhbCV_o6o0uQGgS8Mh_I4,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / infection_control_review_quarterly-20260325-01,4,infection_control_review_quarterly-20260325-01,0
1WrJh6oGEf7-67GDp5XiSWA-Tc1skAw1m,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / incident_response_audit-20260323-01,4,incident_response_audit-20260323-01,0
1rD2kBGEJKCAxGzmKbIdI2-cLUyEGlDOs,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / documentation_alignment_audit-20260323-01,4,documentation_alignment_audit-20260323-01,0
12pJC64cL4UC9InwTuZ0dqHCzDDPorB3z,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / ep_exercise-20260318-01,4,ep_exercise-20260318-01,0
1DWlAiZZcnu35l1lakn1mWsmkAq4y2CTk,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / staff_file_audit-20260316-01,4,staff_file_audit-20260316-01,0
1bJr-rNRf7s94NJxY4cYrK83UeJPkKW7o,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / post_bill_audit-20260316-01,4,post_bill_audit-20260316-01,0
1xONzDeO5Yc0_WzWf04eT6k1NeZp5suh1,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / internal_compliance_audit-20260316-01,4,internal_compliance_audit-20260316-01,0
1hJZJFga0d5Hl95nL0dPEBHehNrICQRER,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / hha_aide_observation-20260311-01,4,hha_aide_observation-20260311-01,0
1_g7kLGhqWSmEz0ksMGYuV5z7Gs0Me1nd,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / visit_documentation_audit-20260309-01,4,visit_documentation_audit-20260309-01,0
1fk2O9ZVu38DyahBhxVU2M2GxvFVKmiW9,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / pre_bill_audit-20260309-01,4,pre_bill_audit-20260309-01,0
1eFjKq87WUNX65c6CQ_Rv4duFdonwbX34,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / plan_of_care_audit-20260309-01,4,plan_of_care_audit-20260309-01,0
1Yz8NQUhVe7Yn1RRyuKDo9wfO_fc3GXg9,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / orders_alignment_audit-20260309-01,4,orders_alignment_audit-20260309-01,0
1wjAcmIqJvEwheIJ0cpodQEmJgfIkpbrR,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / oasis_accuracy_audit-20260309-01,4,oasis_accuracy_audit-20260309-01,0
1097yZp7JUZXx1RAGx6pksKYBczWDbNjW,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / missed_visit_audit-20260309-01,4,missed_visit_audit-20260309-01,0
1Tao3fovWg3xaskAEaNPeUUmOXljEmLZ_,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / medication_management_audit-20260309-01,4,medication_management_audit-20260309-01,0
1eRrG3NMGQUhz75cHwMmQ4r6TxUAVOd8a,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / medical_necessity_audit-20260309-01,4,medical_necessity_audit-20260309-01,0
1pz9SWupdZGsUX-wtVp_6BGEj6KR0clgO,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / license_exclusion_audit-20260309-01,4,license_exclusion_audit-20260309-01,0
18Y2leUyb1rqF8N3ddaxDGNWsY3wI9Qh_,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / infection_control_audit-20260309-01,4,infection_control_audit-20260309-01,0
1mJzStUS_h1HaxXyalxmaPMyZ5XBRE8sB,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / clinical_record_completeness_audit-20260309-01,4,clinical_record_completeness_audit-20260309-01,0
1D2NgZHnHeYs6nkeevBLrK2-M7CM356SA,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / care_coordination_audit-20260309-01,4,care_coordination_audit-20260309-01,0
1ZHDO6yeZ8uNXksrRk6A60Q0ZjZXylaX5,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / March / authorization_audit-20260309-01,4,authorization_audit-20260309-01,0
1RWJoSHIQuSOkBYDxfh03hdzQK3-ha57h,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / hha_skill_observation-20260225-01,4,hha_skill_observation-20260225-01,0
1tP8t42IaC8hIJQw2eLUXRDcRVxdetNqF,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / post_bill_audit-20260216-01,4,post_bill_audit-20260216-01,0
1MeSTBvO3yoza4rY203xxrGY7UNYxYUAM,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / visit_documentation_audit-20260209-01,4,visit_documentation_audit-20260209-01,0
1UCswA5WOmk0cg6-ryq201b2jRVwBE7bK,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / pre_bill_audit-20260209-01,4,pre_bill_audit-20260209-01,0
1RjO_cen_QnTQR1Hq4a32wlokpli-3KDY,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / plan_of_care_audit-20260209-01,4,plan_of_care_audit-20260209-01,0
10qkifG_biC7qn2MAxmHwFyon3IIq0zSv,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / orders_alignment_audit-20260209-01,4,orders_alignment_audit-20260209-01,0
1usO-9EKG7knqZFpwqvvI8BpMixQ2z7dr,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / oasis_accuracy_audit-20260209-01,4,oasis_accuracy_audit-20260209-01,0
1dTaLzhepQ5jQXASkHOILg_3hzfmLkyBB,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / missed_visit_audit-20260209-01,4,missed_visit_audit-20260209-01,0
1mubqonoVFgo7SA5uFiT_ewJJNC_oGLZh,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / medication_management_audit-20260209-01,4,medication_management_audit-20260209-01,0
1O0hcSY7bFI7_6ua2o0eIxa0OK5kKGvf3,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / medical_necessity_audit-20260209-01,4,medical_necessity_audit-20260209-01,0
15rrUz0zHx-ncR9PoiN4fP-PPWa16hPng,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / license_exclusion_audit-20260209-01,4,license_exclusion_audit-20260209-01,0
1JDsiw4oql8dYv6fdQkM2WORyx_RltBBs,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / infection_control_audit-20260209-01,4,infection_control_audit-20260209-01,0
1jBAEmv4Tafsycu3mj9fyyb2KrPFw8iEQ,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / hha_aide_inservice-20260209-01,4,hha_aide_inservice-20260209-01,0
1KhqM05WSyH8SHUu4N9-ZE0sRXAoIMqog,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / clinical_record_completeness_audit-20260209-01,4,clinical_record_completeness_audit-20260209-01,0
1jCLF9JccJza8wZYR3QI239VPMs_AIDHt,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / care_coordination_audit-20260209-01,4,care_coordination_audit-20260209-01,0
15l84yjlWCb1WGR9fZinIip4ieTKTx7O8,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / authorization_audit-20260209-01,4,authorization_audit-20260209-01,0
1UTEtOwX-8Bb1mdJRy8WDYaojTY-8hqwz,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / February / qapi_meeting-20260205-04,4,qapi_meeting-20260205-04,0
11ONIb7XHDjjpUMzO3SMCspvVLDsBVzJp,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / ep_staff_training-20260122-01,4,ep_staff_training-20260122-01,0
1qhUfwXryH8UfrbnwTGIwMYSCGVZkS0CD,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / ep_plan_review-20260115-01,4,ep_plan_review-20260115-01,0
1bfqOIM7vcXcJXZpGr3mwrWi0Gukm9BCb,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / post_bill_audit-20260114-01,4,post_bill_audit-20260114-01,0
1AODweOMvrt6BpLGu57T8YwVX_cxhC0hf,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / governance_packet_review-20260108-01,4,governance_packet_review-20260108-01,0
1kB-wkfBSLZ_pBLa6bFkFV8_IUSufU177,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / visit_documentation_audit-20260107-01,4,visit_documentation_audit-20260107-01,0
1S_r1GuiQDpLPIwxNXcwu7Jm6i9JcE2dW,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / pre_bill_audit-20260107-01,4,pre_bill_audit-20260107-01,0
1RN5cBIzDLm6E7HI3wGP9opUoBE63131e,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / plan_of_care_audit-20260107-01,4,plan_of_care_audit-20260107-01,0
1GV7JR3YLqn0DY5-QJbDAbzAvQHoWFIyk,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / orders_alignment_audit-20260107-01,4,orders_alignment_audit-20260107-01,0
1WbOXhrdvKMvcaq1MYMXn4h6N34GrswvV,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / oasis_accuracy_audit-20260107-01,4,oasis_accuracy_audit-20260107-01,0
1ywvdNXd7nqNh88uhmkbFopCi9BsknEHN,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / missed_visit_audit-20260107-01,4,missed_visit_audit-20260107-01,0
1ujkCpXrv8bGufkDMmm68ZoPeyCJ_pzuq,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / medication_management_audit-20260107-01,4,medication_management_audit-20260107-01,0
18pcyrD5IXLnjtfU6C8IETs2nVosi3Wt5,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / medical_necessity_audit-20260107-01,4,medical_necessity_audit-20260107-01,0
1UPIILR_2nD0KLrnl2p_AGdgcwvPjHfDi,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / license_exclusion_audit-20260107-01,4,license_exclusion_audit-20260107-01,0
1XUXZdu64XItO8OCMUlISgZWTPSsQc2pK,Drive / 2026 Brad Training / BRAD_MOCK_TEST_ALPHA / January / infection_control_audit-20260107-01,4,infection_control_audit-20260107-01,0
