module_id,module_title,lesson_count,role_applicability_union,pp_codes,federal_regulation_references,cms_cop_references,california_title22_references,achc_hh_standards,workflow_ids,form_ids,evidence_requirements_union,survey_criticality_max,risk_level_max,retraining_frequency,remediation_required_any,competency_required,evidence_generation_required,achc_mapping_confidence,regulation_mapping_confidence,mapping_review_required
Module-M01,Organization; Compliance; Workforce and IT Foundations,13,Admin|CNA|Comp|DON|HHA|HR|IT|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M14,Plan of Care / Orders / Eligibility,4,Admin|Comp|DON|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M15,Care Coordination / Documentation / Discharge,6,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,CRITICAL,CRITICAL,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M16,Medication / Pain Management,3,CNA|Comp|DON|HHA|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M17,Falls / Wounds / Infection Control,3,CNA|Comp|DON|HHA|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M18,Patient Education / Home Risk,4,CNA|Comp|DON|HHA|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M19,HHA / CNA Role and Observation,4,CNA|Comp|DON|HHA|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M20,Personal Care / Safe Assistance,4,CNA|Comp|DON|HHA|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M21,HHA / CNA Documentation and Supervision,4,CNA|Comp|DON|HHA|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M22,RN / LVN Scope and Supervision,4,Comp|DON|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,CRITICAL,CRITICAL,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M23,Skilled Nursing Procedures,3,Comp|DON|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,CRITICAL,CRITICAL,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M24,Supervisory Visits / Skilled Documentation / Competency,3,Comp|DON|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M25,Therapy Scope and Roles,5,Comp|DON,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M26,Therapy Supervision / Reassessment / Documentation,5,Comp|DON,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M27,Medical Social Work Assessment,4,Comp|DON,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M28,Medical Social Work Care Planning,3,Comp|DON,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M29,Intake / Eligibility / Admission Packet,3,Admin|Comp|DON|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M30,Office Operations / Evidence Handling,6,Admin|Comp|DON|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M31,QAPI Program / Committee,3,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M32,RCA / Corrective Action / Trend Monitoring,3,Admin|Comp|DON|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M33,Chart / OASIS / Patient Data Review,3,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,CRITICAL,CRITICAL,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M34,Surveillance / Drill Evaluation / Audit Evidence,3,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M35,Governing Body / Administrator Accountability,2,Admin|Comp|DON|HR,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M36,DON / Compliance / Privacy Officer Roles,3,Admin|Comp|DON|HR|IT|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M37,Survey Readiness / Policy / Risk Management,3,Admin|CNA|Comp|DON|HHA|HR|IT|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M38,QAPI / Clinical Supervision Leadership,2,Admin|Comp|DON|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M39,Competency / Preceptor / Emergency Leadership,3,Admin|Comp|DON|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M40,Incident / Vendor Oversight,2,Admin|Comp|DON|HR|IT|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,CRITICAL,CRITICAL,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
