section_id,section_title,policy_ids,form_ids,external_authorities,owner,employee_action
discipline,"Coaching, corrective action, discipline, and investigations",HR-ER-002; CO-CP-007; HR-TD-003; RM-ER-002,HR-FM-009; HR-FM-032; HR-FM-038,,Supervisor / HR / Compliance / DON,
complaints,"Employee grievances, complaints, compliance reporting, and non-retaliation",HR-ER-003; CO-CP-005; CO-CP-006; CO-CP-007; RM-ER-002,HR-FM-010,,HR / Compliance,
conduct,"Code of Conduct, conflicts, gifts, referrals, and ethical relationships",CO-CP-004; GV-GB-003; CO-FA-001; CO-FA-002; CO-FA-003,GV-FM-006,,Compliance / HR,
substance,"Drug-free workplace, cannabis, alcohol, medication, smoking, and fitness for duty",HR-ER-005; HR-EH-101; HR-ER-004; RM-OS-101; RM-SS-003,HR-FM-001; HR-FM-002; HR-FM-044,CA-CAN,HR / Employee Health / Safety / Legal,
privacy,"HIPAA, CMIA, confidentiality, and minimum necessary",CO-HP-001; CO-HP-002; CO-HP-003; CO-HP-004; CO-HP-101; CO-CA-001; CO-IR-101; IT-SC-006,HR-FM-037; IT-FM-009,FED-HIPAA,Privacy / Security / Compliance,
technology,"Technology, mobile devices, email, social media, and AI",IT-UP-001; IT-UP-002; IT-UP-003; IT-UP-004; IT-SC-001; IT-SC-002; IT-SC-006; CO-AI-101,IT-FM-001; IT-FM-009; HR-FM-028,FED-NLRA,IT / Security / Privacy,
employee-privacy,"Employee privacy, monitoring, and personnel records",HR-WM-005; HR-WM-007; CO-HP-007; CO-HP-101; IT-DR-003,HR-FM-015,CA-PERS,HR / Privacy,
safety,"IIPP, workplace violence prevention, emergency preparedness, and hazard reporting",RM-OS-001; RM-OS-101; RM-SS-001; RM-SS-002; RM-EP-001; RM-EP-002; OP-FM-005,RM-FM-001; RM-FM-004; RM-FM-005; RM-FM-009; RM-FM-013; RM-FM-014; HR-FM-030,CA-WVPP; CA-IIPP; FED-EP,Safety / Administrator / Operations,
exposure,"Bloodborne pathogens, aerosol-transmissible disease, infection prevention, and exposure response",RM-OS-002; RM-OS-003; RM-OS-101; CL-SD-016; HR-EH-101; HR-WM-003; HR-WM-004,HR-FM-012; HR-FM-013; HR-FM-014; HR-FM-021; HR-FM-023,FED-BBP,Employee Health / Safety / DON,
injury,"Work-related injury, workers’ compensation, and incident reporting",HR-WM-004; RM-ER-002; RM-ER-006; HR-EH-101; QA-AE-004,HR-FM-014; HR-FM-023; HR-FM-052,CA-WKYR,Safety / HR / Claims,
field-safety,"Home-visit safety, driving, transportation, and hazardous conditions",RM-SS-001; RM-SS-002; RM-SS-003; OP-SL-003; OP-SL-007; RM-OS-004,,,Operations / Safety,
patient-rights,"Patient rights, abuse/neglect reporting, boundaries, and professional conduct",CL-PR-001; CL-PR-004; CL-PR-006; HR-ER-009; CO-CP-004,HR-FM-033,,All Staff / DON / Compliance,
clinical-scope,"Job descriptions, clinical scope, orders, Plan of Care, and documentation",HR-TA-006; CL-CD-001; CL-CD-002; CL-CD-003; CL-CD-004; CL-DC-101; CL-CP-001; CL-CP-003; CL-CP-005,HR-FM-031,,DON / Discipline Supervisor,
visits,"Scheduling, missed visits, after-hours communication, and continuity",OP-SL-001; OP-SL-002; OP-SL-005; CL-SD-024; CL-SD-025; CL-CP-003; CL-CP-005,,,Operations / Clinical Supervisor,
hha,"Home Health Aide requirements, in-service education, competency, and supervision",CL-SD-006; CL-SD-007; CL-SD-008; HR-TD-003; HR-TD-001; HR-JD-007,HR-FM-016; HR-FM-017; HR-FM-038,FED-HHA,RN / DON / HHA,
discipline-supervision,Clinical supervision by discipline,CL-SD-001; CL-SD-002; CL-SD-003; CL-SD-004; CL-SD-005; CL-SD-008; HR-TD-003; HR-TA-006,HR-FM-016,,DON / Discipline Supervisors,
training,"Orientation, policy learning, annual/recurring training, competency, and acknowledgment",HR-TA-005; HR-TD-001; HR-TD-002; HR-TD-003; HR-TD-005; HR-TR-101; CO-CP-008; GV-PM-003; EN-LC-003,HR-FM-007; HR-FM-016; HR-FM-017; HR-FM-024; HR-FM-030; EN-FM-001,CA-HAR; FED-EP; FED-BBP; FED-HHA,HR / DON / Compliance,
renewals,"Credential, health-clearance, and document renewal",HR-TA-004; HR-WM-003; HR-EH-101; RM-SS-003,HR-FM-006; HR-FM-012; HR-FM-021,,HR / Employee Health / DON,
appearance-boundaries,"Professional appearance, boundaries, media, and respectful conduct",CO-CP-004; GV-EA-002; IT-UP-003; HR-ER-004,,,HR / Operations / Communications,
leave-return,"Leave, return to work, accommodation, and access restoration",HR-EH-101; HR-WM-003; HR-ER-004; IT-SC-002; HR-TD-003,HR-FM-041; HR-FM-042; HR-FM-044; HR-FM-045; IT-FM-001,,HR / Supervisor / IT / DON,
separation,"Separation, final pay, benefits, records, and offboarding",HR-ER-006; IT-SC-002; CO-HP-007; CO-HP-101,HR-FM-055; HR-FM-056; HR-FM-057; HR-FM-058; IT-FM-002,CA-PAY,HR / Payroll / IT / Operations,
acknowledgment,Employee acknowledgment and receipt,GV-PM-003; EN-LC-001; EN-LC-003,EN-FM-001,,HR,
