"Scene_ID","Act","Slide_Number","Scene_Title","Location","Narration_Text","TTS_Pacing_s","Emotion_Tone","Transition_In","Transition_Out","FLUX_Image_Prompt","PuLID_Character_Guidance","Negative_Prompt","Camera_Framing","ACHC_Topic","Policy_Reference","Learning_Objective_ID","Compliance_Category","Operational_Workflow","Assessment_Linkage","Debrief_Linkage","Scenario_Type","Risk_Category","Escalation_Path","Documentation_Requirement","Patient_Safety_Impact","Survey_Risk","Reconciliation_Status"
"M01-S11","Act 2","11","Handoff Under Pressure","Nurses station morning huddle","In huddle, Marites is interrupted twice and one allergy detail nearly drops. Nobody is openly hostile, but the pattern is unsafe. Subtle communication failures create real clinical risk in continuity-heavy home health workflows.","68","Tense restrained","Sound of overlapping voices","Cut to allergy chart highlight","Photorealistic documentary frame of crowded nursing station with subtle interruption dynamics, realistic expressions, fluorescent-balanced lighting.","Marites appears composed but marginalized; continuity locked.","cartoon villains, melodramatic shouting","Wide ensemble","Workforce inclusion; Communication failures","Professional Conduct Policy","LO4","Workplace Conduct","Interruptions causing information loss","Challenge Q2 setup","Debrief 2","Operational conflict","High","Charge nurse notification","Missed handoff element addendum required","Allergy omission risk","High","Mapped"
"M01-S12","Act 2","12","Unsafe Shortcut Introduced","Hallway outside patient room","A coworker pushes a shortcut: use family interpretation to save time. Marites recognizes the immediate convenience and the hidden risk. In clinical communication, speed cannot replace qualified language access and comprehension verification.","58","Frustrated controlled","Cut on whispered comment","Transition to decision overlay","Photorealistic hallway scene with two clinicians discussing interpreter delay, serious realistic mood, documentary style.","Marites fixed identity; coworker realistic passive-aggressive expression.","comic villain smirk, neon lighting","Medium two-shot","Interpreter services; Compliance obligations","Interpreter Services Policy; CLAS Language Access","LO3","Compliance","Reject unauthorized ad hoc interpretation","Challenge Q2","Debrief 2","Branch challenge","High","Supervisor and interpreter line","Record interpreter request and delay reason","Prevents medication misunderstanding","High","Mapped"
"M01-S13","Act 2","13","Mentor Review with Aldrin","Chart review corner near nursing station","Aldrin reviews Marites' note and praises empathy, then points out a gap: the record does not show exactly how understanding was verified. He teaches that excellent care without defensible documentation still leaves patients and staff exposed.","64","Somber observant","Quiet room tone","Cut to challenge prompt","Photorealistic elderly patient turning away while nurse sits at respectful distance, soft window light, documentary realism.","Maintain patient environment continuity with prior scene.","soap-opera tear effects, excessive blur","Medium profile two-shot","Patient-centered care; Dignity and respect","Patient Interaction Standards","LO5","Clinical Trust","Identify trust breakdown indicators","Challenge Q3 setup","Debrief 3","Narrative escalation","Moderate","Consult supervisor if refusal risk increases","Document patient engagement changes","Trust erosion can lead to refusal of care","Moderate","Mapped"
"M01-S14","Act 2","14","Challenge 2 Debrief: Interpreter Workflow","Interactive debrief card","Qualified interpreter activation plus teach-back is the safest and most defensible option. Family interpretation may feel practical but often fails autonomy, comprehension fidelity, and documentation quality needed for ACHC-facing review.","36","Urgent instructional","Decision card in","Immediate feedback","Photorealistic decision visual with nurse holding interpreter service card and tablet in patient home, realistic lighting.","Character continuity strict; bracelet visible near tablet.","gamey neon overlays, anime icons","POV decision panel","Language access; Interpreter services","Interpreter Workflow Policy","LO3","Assessment","Activate qualified interpreter pathway","Challenge Q2","Debrief 2","Branch challenge","High","Interpreter service -> supervisor if unavailable","Document service ID, start time, content","Avoids incorrect consent and medication errors","High","Mapped"
"M01-S15","Act 2","15","Consequence Scene: Medication Confusion","Patient kitchen follow-up","A timing misunderstanding appears because earlier teaching accepted nodding as understanding. Marites catches it before harm. The team learns that small communication shortcuts can become delayed medication risk across visits.","44","Firm educational","Feedback animation","Cut to breakroom incident","Photorealistic debrief image of nurse and interpreter on speakerphone during teach-back, authentic home setting.","Marites and interpreter call context preserved.","cartoon phone icons, abstract visuals","Medium close","Language access; Patient safety","CLAS; ACHC Survey Expectations","LO1|LO3","Debrief","Qualified interpretation and teach-back","Challenge Q2","Debrief 2","Debrief","High","Supervisor and compliance officer if repeated barriers","Include interpreter modality and comprehension result","Reduces treatment misunderstanding","High","Mapped"
"M01-S16","Act 2","16","Breakroom Microaggression","Staff breakroom","A coworker mocks Marites' accent while others stay silent. The behavior is realistic, subtle, and professionally unacceptable. Workforce disrespect is not separate from patient outcomes; it degrades communication reliability and safety culture.","55","Hurt contained","Room tone drops","Cut to bystander challenge","Photorealistic breakroom scene with subtle exclusion behavior, realistic expressions, documentary style.","Marites continuity; emotional restraint, no exaggerated crying.","cartoon bullying tropes","Medium group","Discrimination/harassment reporting","Anti-Harassment Policy; EEOC Guidance","LO4","Workplace Rights","Recognize hostile conduct indicators","Challenge Q3","Debrief 3","Workplace scenario","High","Supervisor -> HR -> Compliance","Objective incident note","Psychological safety impacts care focus","High","Mapped"
"M01-S17","Act 2","17","Challenge 3 Debrief: Bystander Duty","Interactive debrief card","The best response is calm in-the-moment correction plus objective formal reporting. Delayed silence normalizes risk. Aggressive confrontation creates secondary problems. Professional intervention protects both fairness and operational safety.","34","Decisive","Decision overlay","Debrief reveal","Photorealistic challenge card with nurse in breakroom doorway deciding next action, cinematic realistic light.","Marites continuity fixed; maintain same badge and bracelet.","gamified comic styling","POV decision frame","Ethical behavior; Reporting obligations","Anti-Retaliation and Reporting Policy","LO4","Assessment","Immediate correction plus formal report","Challenge Q3","Debrief 3","Branch challenge","High","Supervisor/HR with anti-retaliation flag","Document quote, witnesses, time, location","Protects workforce stability and patient continuity","High","Mapped"
"M01-S18","Act 2","18","Supervisor Coaching: Objective Reporting","Supervisor office conversation","Leadership coaches the team to report behavior with facts, time, witnesses, impact, and follow-up needs. Character judgments are replaced with objective evidence so corrective action stays fair, documentable, and defensible.","46","Reassuring firm","Feedback slide in","Cut to documentation gap scene","Photorealistic image of HR and supervisor reviewing incident log with clinician present, neutral professional tone.","Keep Marites identifiable in seated review context.","courtroom drama lighting, villain poses","Medium conference shot","Retaliation concerns; Accountability","HR Reporting SOP; EEOC","LO4","Debrief","Incident reporting with retaliation safeguard","Challenge Q3","Debrief 3","Debrief","High","HR -> Compliance -> DON","Incident report with anti-retaliation checkbox","Supports safe staffing continuity","High","Mapped"
"M01-S19","Act 2","19","Documentation Audit Moment","EHR workstation","Marites finds missing cultural preference and interpreter fields in prior notes. The problem is systemic workflow drift, not one bad chart. Missing structured data undermines continuity and weakens audit traceability.","60","Concerned analytical","EHR close-up","Cut to documentation challenge","Photorealistic workstation scene showing nurse reviewing incomplete visit documentation in EHR, realistic monitor glow, documentary tone.","Marites continuity with focused posture; bracelet near keyboard.","fake gibberish UI blocks, sci-fi holograms","Over-shoulder close","Documentation expectations","Clinical Documentation Policy","LO3|LO5","Documentation","Identify omitted culturally relevant data","Challenge Q4","Debrief 4","Operational scenario","High","Escalate to supervisor and QA","Addendum with objective cultural details","Incomplete notes increase recurrence risk","High","Mapped"
"M01-S20","Act 2","20","Challenge 4 Debrief: Corrective Documentation","Interactive debrief card","Defensible correction requires a transparent addendum, objective detail, and supervisor notification of recurring pattern risk. Rewriting history or vague statements may look tidy but fail legal chronology, safety continuity, and survey scrutiny.","40","Technical focused","Decision prompt","Debrief reveal","Photorealistic decision visual of nurse composing compliant addendum note in EHR, natural office light, realistic realism.","Marites lock retained; no appearance drift.","cartoon checklist icons","POV with screen and hands","Documentation; Compliance obligations","Documentation Addendum SOP","LO3","Assessment","Objective addendum and escalation","Challenge Q4","Debrief 4","Branch challenge","High","Supervisor -> QA -> Compliance","Addendum timestamp, rationale, cultural preference, interpreter details","Prevents repeat communication breakdown","High","Mapped"
"M01-S21","Act 2","21","Mentor Lesson: Why Defensibility Matters","Quiet conference alcove","Aldrin reminds Marites that survey review evaluates evidence chains, not intentions. Defensibility means risk recognized, action taken, escalation completed, and documentation showing exactly what happened and why.","52","Authoritative","Debrief animation","Cut to medication confusion scene","Photorealistic visual of compliant charting checklist beside clinician notes, realistic desk scene.","Marites continuity optional; focus on charting realism.","clip-art legal scales, cartoon forms","Insert + medium","Documentation expectations; Accountability","Documentation Policy; QAPI Logging Standard","LO3","Debrief","Defensible record construction","Challenge Q4","Debrief 4","Debrief","High","QA review then supervisor close-loop","Structured compliant note fields","Improves continuity and reduces adverse events","High","Mapped"
"M01-S22","Act 2","22","Near-Miss Escalation","Mr. Henderson kitchen table","Mr. Henderson nearly double-doses because two teaching threads conflict. Marites catches the discrepancy during teach-back and moves into immediate correction workflow before the risk becomes an adverse event.","70","High-stakes focused","Kitchen ambience","Cut to challenge 5","Photorealistic kitchen-table medication education scene with nurse and elderly patient reviewing pill organizer, natural daylight, documentary realism.","Marites continuity strict; patient props consistent.","dramatic red alarms, horror tone","Medium close","Communication failures; Patient safety","Medication Education Workflow","LO3|LO5","Clinical Safety","Teach-back correction of misunderstanding","Challenge Q5","Debrief 5","Clinical near-miss","High","Notify supervisor and prescribing clinician if needed","Document near-miss and corrected education","Prevents dosing error","High","Mapped"
"M01-S23","Act 2","23","Challenge 5 Debrief: Teach-Back Under Risk","Interactive debrief card","When safety risk appears, schedule pressure no longer leads. Immediate correction, same-visit escalation, and objective near-miss documentation are required to protect the patient and maintain continuity-of-care defensibility.","36","Urgent practical","Decision card","Debrief reveal","Photorealistic challenge image of nurse guiding patient through pill schedule with interpreter on speakerphone, realistic home setting.","Marites and bracelet continuity preserved.","gamified symbols, cartoon medicine pills","POV decision plus medium insert","Patient-centered care; Interpreter services","Medication Teaching SOP; Interpreter Policy","LO3|LO5","Assessment","Safe teaching sequence under barrier","Challenge Q5","Debrief 5","Branch challenge","High","Supervisor + prescriber for high-risk confusion","Record teach-back outcome and corrections","Reduces medication-related harm","High","Mapped"
"M01-S24","Act 2","24","Formal Grievance Trigger","Agency call intake workstation","Family dissatisfaction is filed as a formal grievance tied to confusion and disrespect from earlier encounters. The complaint is no longer informal sentiment; it is an operational signal requiring process-level response.","46","Calm corrective","Debrief fade in","Cut to grievance filing","Photorealistic debrief visual of nurse documenting teach-back success after corrected instruction, natural tone.","Marites continuity, soft determined expression.","cartoon speech bubbles","Medium close","Communication failures; Patient safety","Patient Safety Event Policy","LO3","Debrief","Teach-back as risk control","Challenge Q5","Debrief 5","Debrief","High","Supervisor -> QAPI if repeat pattern","Near-miss note with mitigation actions","Direct mitigation of medication risk","High","Mapped"
"M01-S25","Act 2","25","Leadership Process Review","Conference room timeline review","Supervisor, HR, and compliance review chronology, witness accounts, and note quality. The process is firm and fair. Accountability is anchored to documented behavior and patient impact, not personality narratives.","58","Tense procedural","Phone ring bridge","Cut to leadership review","Photorealistic image of supervisor logging formal grievance while clinician present, realistic office lighting.","Marites continuity in background role; procedural focus.","soap-opera conflict framing","Medium office shot","Escalation/reporting; Professionalism","Grievance Intake Policy","LO4","Compliance","Formal complaint routing","N/A","N/A","Operational escalation","High","Supervisor -> Administrator -> Compliance","Grievance intake fields complete","Supports corrective quality loop","High","Mapped"
"M01-S26","Act 2","26","Corrective Action and Coaching","HR follow-up meeting","A rushed coworker receives coaching and monitoring, then is removed from direct assignment after repeated unsafe shortcuts. The action is not punitive theater. It is safety governance and workflow protection.","64","Serious fair","Hard cut","Cut to corrective action outcome","Photorealistic conference room scene with leadership reviewing timeline board and incident records, documentary realism.","Marites continuity present but not centered; fairness visualized.","villain interrogation aesthetic","Wide conference","Corrective action processes; Accountability","Corrective Action SOP","LO4","Governance","Investigation and corrective coaching","N/A","N/A","Governance scene","Moderate","Administrator -> HR","Investigation record and action plan","Improves team reliability for patient care","Moderate","Mapped"
"M01-S27","Act 2","27","Marites Reflection Under Pressure","Exterior walkway at sunset","Marites touches her bracelet and reflects that she did not need to be louder to be effective. She stayed respectful, precise, and accountable. That is how trust and defensibility are built over time.","52","Somber resolved","Muted transition","Cut to Marites reflection","Photorealistic HR follow-up scene with professional documentation handoff, neutral tone, realistic office.","Marites continuity minimal; institutional process focus.","revenge drama style, triumphant humiliation","Medium formal","Compliance obligations; Professionalism","Disciplinary Action Policy","LO4","Governance","Disciplinary documentation and role removal","N/A","N/A","Outcome scene","Moderate","HR -> Administrator","Disciplinary file and role change log","Protects patients from repeated unsafe behavior","Moderate","Mapped"
"M01-S28","Act 2","28","Transition to Mastery","Driveway before revisit","Mr. Henderson agrees to continue visits. Trust was not repaired by slogans. It was rebuilt through repeatable actions: clear communication, verified understanding, correct escalation, and complete documentation.","50","Reflective resilient","Sunset ambience","Dissolve to Act 3","Photorealistic sunset scene of nurse outside patient home touching woven bracelet, natural golden light, documentary mood.","Strong Marites continuity: bracelet close-up, same face identity.","fantasy lens flares, glam portrait style","Medium with insert close-up","Ethical behavior; Accountability","Code of Conduct","LO5","Professional Identity","Reflective professionalism under pressure","N/A","N/A","Reflection","Low","N/A","Optional reflective entry","Supports sustained safe practice","Low","Mapped"
"M01-S29","Act 3","29","Communication Adapted, Identity Preserved","Mr. Henderson living room","Marites adjusts pace and phrasing, confirms preferred address, and validates concerns while maintaining standards. She adapts communication style without compromising safety workflow expectations.","66","Hopeful steady","Soft dissolve in","Cut to interpreter workflow","Photorealistic home visit scene where nurse sits at eye level with elderly patient, respectful body language, soft daylight, documentary realism.","Marites and patient continuity locked from prior scenes.","forced smile stock photo look","Medium seated two-shot","Respectful communication; Dignity and respect","Patient Interaction Standards","LO5","Clinical Interaction","Adaptive communication sequence","Final Assessment setup","Final Debrief","Recovery scenario","Moderate","Supervisor consult if trust fails","Document preference-confirmation and response","Restores trust and adherence","Moderate","Mapped"
"M01-S30","Act 3","30","Interpreter Workflow Executed Correctly","Living room with interpreter line active","She activates qualified interpretation, explains roles clearly, confirms consent and comprehension, and proceeds with structured teaching. Interpreter workflow is framed as patient support and rights protection.","62","Confident precise","Cut on phone activation","Cut to documentation close-up","Photorealistic scene with nurse facilitating interpreter call and patient consent discussion, realistic living room, 35mm documentary style.","Marites continuity strict; bracelet and badge consistent.","cartoon call UI, cyberpunk tones","Medium over-shoulder","Interpreter services; Patient rights","Interpreter Policy; Consent Policy","LO3|LO5","Compliance","Interpreter-mediated consent workflow","Final Assessment Task 2","Final Debrief","Operational success","High","Supervisor if service unavailable","Record interpreter ID, consent, comprehension","Prevents consent errors","High","Mapped"
"M01-S31","Act 3","31","Trust Rebuilt Through Clarity","Living room close two-shot","Mr. Henderson asks questions directly and thanks Marites for not rushing him. The relationship shifts because operational communication is now clear, respectful, and verifiable.","54","Relief warm","Dialogue L-cut","Cut to final simulation intro","Photorealistic close scene of patient and nurse sharing respectful eye contact after clear communication, natural light, documentary realism.","Maintain identity continuity for both characters.","over-romantic cinematic glow","Close two-shot","Patient-centered care","Patient Engagement Policy","LO5","Clinical Outcome","Trust restoration and engagement","Final Assessment setup","Final Debrief","Narrative payoff","Low","N/A","Document patient engagement improvement","Improves adherence and safety follow-through","Low","Mapped"
"M01-S32","Act 3","32","Challenge 6 Debrief: Integrated Sequencing","Interactive debrief card","The strongest decision sequence is urgency check, language-access control, respectful explanation, comprehension verification, objective charting, and escalation of unresolved risk. Right steps in wrong order still create preventable exposure.","38","Focused decisive","Interactive prompt","Immediate debrief","Photorealistic challenge visual of nurse balancing chart, interpreter line, and patient cues, realistic home setting.","Marites continuity locked; dynamic but realistic posture.","game-like UI overload","POV decision","Operational workflow sequencing","CLAS + Escalation + Documentation SOP","LO1|LO3|LO5","Assessment","Integrated sequence challenge","Challenge Q6","Debrief 6","Branch challenge","High","Supervisor/DON as needed","Sequence-based documentation checklist","Prevents compounded communication and delay errors","High","Mapped"
"M01-S33","Act 3","33","Independent Shift Preparation","Pre-shift chart prep station","Supervisor confirms Marites is ready for independent shift not because she is perfect, but because her reasoning is consistent, safe, and defensible under pressure.","44","Reassuring authoritative","Debrief reveal","Cut to final assessment shift","Photorealistic debrief image showing completed workflow checklist and calm patient interaction, realistic details.","Marites continuity optional; workflow visuals emphasized.","cartoon trophies, celebratory confetti","Insert + medium","Compliance obligations; Accountability","ACHC Cultural Competence Expectations","LO1|LO3","Debrief","Integrated communication and escalation","Challenge Q6","Debrief 6","Debrief","High","Supervisor/DON","Complete sequence checklist note","Strengthens safe, repeatable practice","High","Mapped"
"M01-S34","Act 3","34","Final Assessment Q1: Barrier Prioritization","Simulation card 1","Final simulation begins. The learner helps Marites prioritize communication barriers before first contact so risk, timing, and language-access needs are addressed proactively.","42","High-focus","Simulation intro","Decision node 1","Photorealistic morning pre-shift scene with nurse reviewing patient barrier flags on tablet, documentary realism.","Marites continuity strict.","arcade HUD visuals","Medium prep shot","Operational prioritization","Daily Assignment Protocol","LO3","Final Competency","Barrier prioritization","Final Q1","Final Debrief","Simulation","Moderate","Charge nurse if triage conflict","Pre-shift barrier prioritization note","Improves visit sequencing safety","Moderate","Mapped"
"M01-S35","Act 3","35","Final Assessment Q2: Complex Interaction","Simulation card 2","A complex visit combines family pressure, language barriers, and urgent symptom concern. The learner must choose the sequence that protects autonomy, safety, and escalation integrity.","45","Tense competent","Decision node 1 out","Decision node 2","Photorealistic high-stakes home visit scene with nurse, patient, and family in realistic tension, natural indoor light.","Marites continuity strict across final sequence.","action-movie drama, villain caricature","Wide to medium","Communication barriers; Escalation/reporting","Escalation SOP; Interpreter SOP","LO3|LO5","Final Competency","Complex barrier navigation","Final Q2","Final Debrief","Simulation","High","Supervisor -> DON if urgent","Document symptoms, interpreter status, escalation rationale","Mitigates delayed treatment risk","High","Mapped"
"M01-S36","Act 3","36","Final Assessment Q3: Documentation Defensibility","Simulation card 3","The learner selects the most defensible charting pattern: objective findings, barrier handling, comprehension evidence, escalation steps, and next-visit continuity instructions.","40","Technical precise","Decision node 2 out","Decision node 3","Photorealistic EHR documentation scene with nurse entering objective note fields, realistic interface glow, documentary style.","Marites continuity with hand/bracelet visible near keyboard.","sci-fi hologram UI, random gibberish text","Over-shoulder close","Documentation expectations","Documentation SOP","LO3","Final Competency","Defensible charting under pressure","Final Q3","Final Debrief","Simulation","High","Supervisor + QA if discrepancy","Objective final visit note","Protects continuity and legal defensibility","High","Mapped"
"M01-S37","Act 3","37","Final Assessment Q4: Dignity and Consent","Simulation card 4","The learner chooses phrasing that preserves dignity and confirms informed participation before proceeding. Respectful language is operational behavior with direct clinical and compliance impact.","38","Empathic focused","Decision node 3 out","Decision node 4","Photorealistic bedside consent conversation between nurse and elderly patient, respectful spacing, warm natural light, documentary realism.","Marites continuity strict; patient continuity maintained.","melodramatic tears, cartoon emotion icons","Medium close two-shot","Patient rights; Dignity and respect","Consent and Rights Policy","LO5","Final Competency","Consent-first communication","Final Q4","Final Debrief","Simulation","High","Supervisor consult if refusal","Consent confirmation and patient preference entry","Prevents coercive care risk","High","Mapped"
"M01-S38","Act 3","38","Final Assessment Q5: Closed-Loop Escalation","Simulation card 5","The learner completes concern routing, handoff confirmation, and documentation closure so unresolved risks transfer safely through the care team without ambiguity.","40","Resolved confident","Decision node 4 out","Final debrief","Photorealistic closeout handoff scene with nurse speaking to supervisor by phone while completing note, realistic environment.","Marites continuity fixed; composed confident demeanor.","heroic poster style, exaggerated grading","Medium with insert","Escalation/reporting; Accountability","Escalation and Handoff Policies","LO3|LO4","Final Competency","Close-loop escalation and handoff","Final Q5","Final Debrief","Simulation","High","Supervisor -> DON -> Compliance as indicated","Final handoff and escalation record","Ensures unresolved risks are transferred safely","High","Mapped"
