"Scene_ID","Act","Slide_Number","Scene_Title","Location","Narration_Text","TTS_Pacing_s","Emotion_Tone","Transition_In","Transition_Out","FLUX_Image_Prompt","PuLID_Character_Guidance","Negative_Prompt","Camera_Framing","ACHC_Topic","Policy_Reference","Learning_Objective_ID","Compliance_Category","Operational_Workflow","Assessment_Linkage","Debrief_Linkage","Scenario_Type","Risk_Category","Escalation_Path","Documentation_Requirement","Patient_Safety_Impact","Survey_Risk","Reconciliation_Status","Slide_Type","Challenge_Question","Option_A","Option_B","Option_C","Option_D","Correct_Answer_Index","Correct_Answer_Label","Debrief_Text"
"M01-S10","Act 1","S10","Landing: The First Cultural Shock","U.S. airport — arrivals hall and bus","The airport in the United States is large, efficient, and impersonal. Nobody helps without being asked first. Nobody makes eye contact unless they need something. The signage is clear. The process is fast. Nobody lingers. In the Philippines, airports are loud with reunions. Here, arrivals walk briskly and separately. She takes the bus to her temporary housing. The driver does not respond to her greeting. Not rudely — he just does not respond. She files that away. Different system. Her first evening: she unpacks, eats a Cup Noodles because the grocery run can wait, and calls her family on video chat. Her grandmother is already asleep. Her mother holds the phone up anyway so she can see the parol still on the wall. She keeps the video open until the data connection drops. Culture shock is not weakness. It is the cognitive load of recalibrating every social and professional assumption simultaneously. For healthcare workers, unmanaged culture shock can affect communication quality, documentation accuracy, and patient relationship-building.","85","Isolating observant","Dissolve from airport goodbye","Cut to first week EHR scene","Photorealistic documentary image of Filipina woman alone in large efficient U.S. airport arrivals area, brisk solo travelers around her, quiet contrast to Philippine warmth, 35mm lens, natural lighting.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Solo in crowd — bracelet visible on wrist holding small rolling bag.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide to medium — isolation composition","Cultural awareness; Implicit bias","ACHC CLAS Domain 1; Workforce Inclusion Policy","LO1","Cultural Shock","Organizational support for cultural transition","N/A","N/A","Cultural shock narrative","Moderate","N/A","None","Grounds the learner in cultural contrast before operational challenges begin","Moderate","Mapped","content","","","","","","","",""
"M01-S11","Act 1","S11","First Week: The System Is Different","Agency — nursing station and EHR workstation","The EHR system has twelve required fields she has never seen. The abbreviations are different from the ones she trained on. The handoff format is faster and more verbal — less written, more assumed. In the Philippines, a ward handoff included written notes, verbal confirmation, and physical bedside assessment. Here, the expectation is a ten-minute verbal briefing and a chart review. The first time she asks a clarifying question during handoff, the charge nurse glances at the clock. Not unkindly — but the signal is clear: brevity is currency here. She writes everything down. She stays an extra twenty minutes reviewing charts before leaving. She does not ask questions she can answer herself. She saves her questions for the ones that matter. Adapting to a faster handoff culture does not mean abandoning closed-loop communication. It means executing it efficiently. One targeted clarifying question, timed correctly, is more valuable than ten vague ones at the wrong moment.","82","Careful adaptive","Cut from landing scene","Cut to grocery store scene","Photorealistic documentary shot of Filipina nurse writing in notebook at nursing station while reviewing EHR screen with unfamiliar documentation fields, fluorescent office light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Agency setting: realistic U.S. home health office.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Over-shoulder medium close","Communication failures; Documentation expectations","EHR Documentation Protocol; Handoff SOP","LO3","Communication","Closed-loop handoff in abbreviated U.S. clinical culture","N/A","N/A","Cultural contrast teaching","Moderate","Charge nurse escalation if ambiguity persists","Document clarified risk items during handoff prep","Prevents errors from system unfamiliarity","Moderate","Mapped","content","","","","","","","",""
"M01-S12","Act 1","S12","First Grocery Store and Small Shocks","Local grocery store — off day","She goes to the grocery store on her day off. She spends twenty minutes looking for garlic rice. She cannot find it. She settles for white rice and garlic from the produce section. She brings everything to the cashier and says: Good morning, Ma'am — and the cashier, without looking up, says: You have a rewards card? Not rude. Just transactional. In the Philippines, strangers at market stalls ask where you are going, who your family is, whether you have eaten. The cashier is doing her job efficiently. Marites is grieving a style of warmth she did not know she needed. She buys her groceries and walks back to her apartment. She texts her lola a photo of the white rice. Her lola responds with three rice emojis and a laughing face. She laughs alone in her apartment and feels slightly better. Clinical relationships in American home health are professional and boundaried — not cold, but structured. Knowing this difference allows the clinician to adapt without misreading professional distance as hostility.","78","Wry tender","Cut from EHR scene","Cut to resilience scene","Photorealistic documentary still of Filipina woman alone in a large American grocery store aisle looking at plain white rice bags, fluorescent store lighting, subtle expression of quiet humor and homesickness, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Casual clothing, no scrubs — off duty. Bracelet still visible.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — Marites in foreground, grocery aisle in background","Cultural awareness; Implicit bias","ACHC CLAS Domain 1; Workforce Inclusion Policy","LO1|LO5","Cultural Shock","Hospitality norms contrast — professional versus communal warmth","N/A","N/A","Cultural contrast teaching","Low","N/A","None","Builds empathy for cultural isolation before workplace conflict","Low","Mapped","content","","","","","","","",""
"M01-S13","Act 1","S13","Resilience in Practice","Agency — break room and hallway","In the Philippines, Marites has worked through a typhoon warning, a dengue outbreak in her barangay, and a hospital generator failure during a night shift. She kept working. She figured out what was needed and she did it. Filipino resilience — the cultural norm of maintaining a positive face and continuing to function under pressure — is not denial. It is a survival skill that her community practices so consistently it becomes professional reflex. Here, she is watching colleagues express frustration openly — at the system, at the scheduler, at the EHR — in ways she was trained to absorb quietly. She notices that here, speaking up is not the same as complaining. It is sometimes how the system gets fixed. She is building a new operational vocabulary, and she is doing it deliberately. Compliance and safety culture in ACHC-accredited agencies depend on staff who report concerns, document anomalies, and escalate without waiting for permission. Speaking up is not disloyalty — it is the job.","80","Resilient observant","Cut from grocery scene","Cut to agency orientation","Photorealistic documentary scene of Filipina nurse in U.S. agency break room observing colleagues expressing frustration, her expression calm and observational, realistic office environment, natural light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Seated at break room table, coffee cup, observational posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot — Marites observing","Compliance obligations; Escalation/reporting; Workforce inclusion","ACHC Reporting Obligations; Whistleblower Policy","LO4","Compliance Culture","Resilience culture versus compliance reporting expectations","N/A","N/A","Cultural contrast teaching","Moderate","Supervisor escalation channel introduction","None at this stage — observation only","Unaddressed suppression of reporting creates safety risk","High","Mapped","content","","","","","","","",""
"M01-S13-EC1","Act 1","S13-EC1","Educator Side Comment: First Contact Signal","Agency — break room and hallway","Notice what just happened here. Mr. Henderson looked at Marites' hands before he answered. In home health, that micro-pause can signal mistrust, hearing uncertainty, or fear of losing control. A competent clinician slows down, confirms preferences, and documents the interaction signal.","32","Educator coaching","Soft instructional overlay","Return to narrative flow","Photorealistic documentary scene of Filipina nurse in U.S. agency break room observing colleagues expressing frustration, her expression calm and observational, realistic office environment, natural light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Seated at break room table, coffee cup, observational posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot — Marites observing","Operational judgment; Compliance obligations; Escalation/reporting; Workforce inclusion","ACHC Reporting Obligations; Whistleblower Policy","LO4","In-the-moment instruction","Patient encounter communication signal review","N/A","N/A","educator commentary","Moderate","Supervisor escalation channel introduction","None at this stage — observation only","Bridges narrative signal to safety decision making","Moderate","Mapped","educator-commentary","","","","","","","",""
"M01-S14","Act 1","S14","Agency Orientation: Reading the Policies with New Eyes","Agency conference room — orientation day","At agency orientation, Marites is given a thick binder. She reads it the way she prepared for licensing exams — front to back, with a highlighter. She marks: Language Access. Interpreter Services Required. Patient Rights. Anti-Discrimination. Reporting Obligations. Anti-Retaliation. In her Philippine clinic, many of these existed as values rather than written operational standards. Here they are legal obligations with documented workflows, survey traceability, and corrective action pathways. The commitment is the same. The architecture is more formal. She reads the Anti-Retaliation clause twice. She has never worked somewhere that explicitly wrote down that she could not be punished for reporting a concern. She finds this remarkable. ACHC accreditation requires that agencies not only have these policies but demonstrate evidence that staff understand and apply them. Orientation is the beginning of audit-traceable competency documentation. Staff who read carefully and ask questions are building defensibility.","82","Alert composed","Cut from resilience scene","Cut to first handoff","Photorealistic documentary image of Filipina nurse at orientation table reading agency policy binder with yellow highlighter, realistic conference room, overhead warm lighting, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Seated at conference table with binder and highlighter.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium over-shoulder close on binder","Patient rights; Compliance obligations; Anti-retaliation","Patient Rights Policy; Anti-Retaliation Policy; ACHC Survey Standards","LO1","Policy Compliance","Policy orientation as competency documentation baseline","N/A","N/A","Policy bridge","Moderate","N/A","Orientation sign-off and policy acknowledgment","Policies understood and applied reduce care rights violations","Moderate","Mapped","content","","","","","","","",""
"M01-S15","Act 1","S15","First Handoff: A New Rhythm","Agency — nursing station hallway","Her first full team handoff is Thursday morning. The charge nurse moves through patient assignments in fifteen minutes. Allergy flags. Visit priorities. Documentation holds. Insurance authorizations. Interpreter requests pending. Marites listens, writes, and maps each patient against what she already reviewed in the chart. When a detail is unclear — a wound classification she does not recognize — she raises her hand and asks one targeted question. The charge nurse answers without stopping her pace. Marites writes it down. The handoff ends. Aldrin — the experienced clinician she has been paired with for the week — catches up with her in the hallway: Good catch on the classification. Most people let that one go. She knows she caught it because she prepared the night before. Closed-loop handoff is a safety mechanism, not a social convention. One targeted clarifying question, timed correctly, is more valuable than ten vague ones at the wrong moment.","75","Alert prepared","Cut from orientation","Cut to rights board scene","Photorealistic documentary shot of clinical morning huddle with nurse writing in notebook while charge nurse reviews assignments at nursing station, realistic fluorescent lighting, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Notebook in hand, attentive posture, bracelet visible.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide ensemble narrowing to medium close on Marites","Communication failures; Documentation expectations","Handoff Protocol SOP; Closed-Loop Communication Standard","LO3","Communication","Targeted closed-loop handoff question","N/A","N/A","Operational teaching","Moderate","Charge nurse escalation for ambiguity","Document handoff clarifications in pre-visit notes","Prevents omission of critical patient safety details","Moderate","Mapped","content","","","","","","","",""
"M01-S16","Act 1","S16","The Rights Board: Rules Become Real","Agency hallway — patient coordination area","In the hallway outside the patient coordination room, there is a laminated board. Patient rights. Language access. Interpreter services at no charge. Anti-discrimination protections. Grievance process. Marites stops and reads it as if she has never seen policies before — because here, they are the operational landscape she will navigate daily. She notices: interpreter services are explicitly required, not suggested. Family members may not substitute for qualified interpretation in clinical decisions. This is different from what she saw in her previous work environment, where family interpretation was common practice driven by necessity. She photographs the board on her personal phone. Not for evidence — for study. The policies posted in an ACHC-accredited agency are operational standards surveyors will evaluate during review. Every field worker is expected to know them, apply them, document them, and escalate when they are not followed.","72","Alert professional","Cut from handoff scene","Cut to pre-visit prep","Photorealistic documentary close-up of laminated patient rights and language access policy board on agency wall, realistic institutional setting, balanced overhead light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Marites in foreground reading board — back to camera partial.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Insert close on board to medium of Marites reading","Patient rights; Language access; Interpreter services","Patient Rights Policy; CLAS Language Access Standard","LO1|LO3","Rights and Compliance","Policy recognition as operational readiness","N/A","N/A","Policy bridge","Moderate","N/A","None — policy study stage","Internalized policies prevent rights violations in field","Moderate","Mapped","content","","","","","","","",""
"M01-S17","Act 1","S17","Pre-Visit Preparation: First Patient","Agency parking lot — car before visit","Before driving to her first solo visit, Marites reviews the patient chart, checks language preference, identifies the interpreter contact number, reviews allergies and risk markers, and rehearses the patient's name. She says it aloud three times: Henderson. Mr. Henderson. She checks her watch, calculates her drive time, and notes that she has a five-minute window before the appointment to compose herself and review her teaching plan. She touches her bracelet. She knocks. Pre-visit preparation is a patient safety habit. Reviewing language access needs, allergy flags, communication preferences, and care plan priorities before arrival — not during — reduces the cognitive load at the door and gives the clinician the space to be fully present with the patient.","65","Focused calm","Cut from rights board","Cut to challenge 1","Photorealistic documentary image of Filipina nurse in parked car reviewing tablet chart before patient visit, morning light through windshield, bracelet visible, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. In car — scrubs, badge, bracelet. Composed expression before first visit.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Close over-shoulder — tablet and hands in focus","Cultural awareness; Patient-centered care","Pre-Visit Preparation Protocol; Language Access SOP","LO3|LO5","Clinical Preparation","Pre-visit barrier and language access check","C1","D1","Operational prep scene","Moderate","Escalate to scheduler if language data missing","Document preferred language and interpreter need before arrival","Prevents communication errors at point of care","Moderate","Mapped","content","","","","","","","",""
"M01-S18-Q","Act 1","S18-Q","Challenge 1: Cultural Preference vs Clinical Urgency — Question","Mr. Henderson home — front door","Help Marites make the correct operational decision. She has arrived at Mr. Henderson's home for a wound care visit. The family meets her at the door and tells her their religious beliefs require gender-concordant care — Marites cannot provide the treatment. She looks at the wound dressing. It is soiled. The wound may be deteriorating. The patient cannot speak to confirm or deny the accommodation request. Marites has four options. What is the most defensible immediate action? Option A: Acknowledge the family's request, rapidly assess wound urgency at the bedside, call the supervisor immediately for accommodation routing, and document both the preference and the clinical findings. Option B: Respect the family's preference completely by leaving the home and messaging the office to reschedule with a different clinician. Option C: Proceed with wound care because clinical urgency overrides accommodation requests when deterioration is present. Option D: Ask the family to sign a refusal form first, then determine next steps based on available staffing.","58","Urgent instructional","Cut from pre-visit prep","Cut to challenge 1 debrief","Photorealistic documentary image of nurse pausing at patient front door with chart and phone, subtle clinical urgency in posture, realistic residential exterior, natural morning light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet visible. Neutral decision-moment expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","POV medium — door in background","Cultural awareness; Patient rights; Escalation","CLAS Domain 2; Patient Rights Policy; Escalation SOP","LO1|LO3|LO5","Assessment — Challenge 1","Urgent accommodation-plus-escalation sequence","C1","D1","Branch challenge","High","Immediate supervisor escalation with clinical urgency rationale","Document preference, urgency assessment, escalation outcome, and plan","Prevents wound deterioration while preserving patient rights","High","Mapped","challenge","Marites arrives at Mr. Henderson's home for wound care. The family says religious beliefs require gender-concordant care — Marites cannot treat him. The wound dressing is soiled and may be deteriorating. The patient cannot speak to confirm. What is the most defensible immediate action?","Acknowledge the family's request, rapidly assess wound urgency at the bedside, call the supervisor immediately for accommodation routing, and document both the preference and the clinical findings.","Respect the family's preference completely by leaving the home and messaging the office to reschedule with a different clinician.","Proceed with wound care because clinical urgency overrides accommodation requests when deterioration is present.","Ask the family to sign a refusal form first, then determine next steps based on available staffing.","0","A",""
"M01-S18-D","Act 1","S18-D","Challenge 1 Debrief: Rights and Urgency Are Not a Choice","Debrief card","Operational Case Review
1) Correct decision: Option A is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Acknowledge the family's request, rapidly assess wound urgency at the bedside, call the supervisor immediately for accommodation routing, and document both the preference and the clinical findings.
3) Incorrect option analysis:
- Option B risk: Respect the family's preference completely by leaving the home and messaging the office to reschedule with a different clinician.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: Proceed with wound care because clinical urgency overrides accommodation requests when deterioration is present.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Ask the family to sign a refusal form first, then determine next steps based on available staffing.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is A. In home health, you will face moments where two legitimate obligations pull in opposite directions. The defensible response is never to choose one and abandon the other. Option A is correct because it holds both simultaneously — urgency assessment at bedside, supervisor escalation for accommodation routing, and complete documentation of the preference, the clinical findings, and the plan. Option B abandons the patient at the moment of highest clinical risk. A wound deteriorating with no assessment on record is a patient safety failure, regardless of how respectful the departure was. Option C overrides an accommodation process the patient has a legal right to access. Proceeding without attempting accommodation — even in clinical urgency — creates survey exposure and trust rupture. Documentation that appears to override rights without process is a compliance liability. Option D inverts the correct sequence. Paperwork before urgency assessment is a workflow error with direct patient harm potential. The rule that holds across every challenge in this module: assess urgency first, escalate immediately, document both the preference and the clinical findings, and let your supervisor route the solution. You do not carry the accommodation decision alone. That is what escalation is for.","95","Operational case-review coaching","Answer reveal","Dissolve to Act 2","Photorealistic documentary image of nurse on phone outside residential home, supervisor call in progress, chart open, bracelet visible, natural morning light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Escalation call posture — composed and purposeful.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — nurse at doorway with phone","Cultural awareness; Patient rights; Escalation; Documentation","CLAS Domain 2; Patient Rights Policy; Escalation SOP; Documentation SOP","LO1|LO3|LO5","Debrief — Challenge 1","Hold both obligations: assess urgency and escalate accommodation simultaneously","C1","D1","Challenge debrief","High","Supervisor → DON if accommodation cannot be arranged in time","Document preference, urgency findings, escalation route, and follow-up plan","Prevents wound deterioration AND rights override — both simultaneously","High","Mapped","debrief","","","","","","","","Operational Case Review
1) Correct decision: Option A is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Acknowledge the family's request, rapidly assess wound urgency at the bedside, call the supervisor immediately for accommodation routing, and document both the preference and the clinical findings.
3) Incorrect option analysis:
- Option B risk: Respect the family's preference completely by leaving the home and messaging the office to reschedule with a different clinician.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: Proceed with wound care because clinical urgency overrides accommodation requests when deterioration is present.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Ask the family to sign a refusal form first, then determine next steps based on available staffing.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is A. In home health, you will face moments where two legitimate obligations pull in opposite directions. The defensible response is never to choose one and abandon the other. Option A is correct because it holds both simultaneously — urgency assessment at bedside, supervisor escalation for accommodation routing, and complete documentation of the preference, the clinical findings, and the plan. Option B abandons the patient at the moment of highest clinical risk. A wound deteriorating with no assessment on record is a patient safety failure, regardless of how respectful the departure was. Option C overrides an accommodation process the patient has a legal right to access. Proceeding without attempting accommodation — even in clinical urgency — creates survey exposure and trust rupture. Documentation that appears to override rights without process is a compliance liability. Option D inverts the correct sequence. Paperwork before urgency assessment is a workflow error with direct patient harm potential. The rule that holds across every challenge in this module: assess urgency first, escalate immediately, document both the preference and the clinical findings, and let your supervisor route the solution. You do not carry the accommodation decision alone. That is what escalation is for."
"M01-S19","Act 2","S19","Handoff Under Pressure","Agency — morning huddle nursing station","In morning huddle, Marites is interrupted twice while confirming allergy details. Nobody yells. This is realistic pressure, not cartoon hostility. The risk is subtle and operationally dangerous. A coworker talks over her during a key safety detail. The charge nurse moves on before she can complete her question. The allergy flag is almost missed. She catches it — because she wrote it down the night before. Interruption control and closed-loop handoff are safety mechanisms. When small details drop in handoff, the downstream clinical risk does not announce itself — it waits.","68","Tense restrained","Dissolve from Act 1 close","Cut to unsafe shortcut scene","Photorealistic documentary frame of crowded morning nursing station huddle, Marites speaking while colleague talks over her, realistic fluorescent lighting, subtle tension in body language.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Composure under interruption — no exaggerated frustration.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide ensemble to medium close on Marites","Communication failures; Workforce inclusion","Handoff Protocol; Professionalism Policy","LO4","Workplace Conduct","Interruptions creating information loss","C2 setup","D2","Operational conflict","High","Charge nurse notification if safety-critical detail lost","Addendum for missed handoff elements","Allergy omission creates direct medication safety risk","High","Mapped","content","","","","","","","",""
"M01-S19-EC2","Act 2","S19-EC2","Educator Side Comment: Handoff Safety","Agency — morning huddle nursing station","This is often missed during busy visits. A rushed handoff is not a personality issue; it is a workflow hazard. Surveyors look for whether critical facts were transferred clearly. If details are dropped, document what is missing and close the loop before you leave.","32","Educator coaching","Soft instructional overlay","Return to narrative flow","Photorealistic documentary frame of crowded morning nursing station huddle, Marites speaking while colleague talks over her, realistic fluorescent lighting, subtle tension in body language.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Composure under interruption — no exaggerated frustration.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide ensemble to medium close on Marites","Operational judgment; Communication failures; Workforce inclusion","Handoff Protocol; Professionalism Policy","LO4","In-the-moment instruction","Handoff completeness check","C2 setup","D2","educator commentary","High","Charge nurse notification if safety-critical detail lost","Addendum for missed handoff elements","Bridges narrative signal to safety decision making","Moderate","Mapped","educator-commentary","","","","","","","",""
"M01-S20","Act 2","S20","Unsafe Shortcut Introduced","Hallway outside patient room","A rushed coworker pulls Marites aside in the hallway. He has a suggestion. The interpreter line takes forever. The patient's daughter is right there. She speaks English fine. Just use the family. Nobody will know and it saves forty minutes. Marites pauses. The bracelet is between her fingers. She recognizes the convenience and she recognizes the risk. In clinical communication, speed cannot replace qualified language access and comprehension verification. Family interpretation is often incomplete for clinical decisions and can compromise autonomy, consent, and medication accuracy.","62","Frustrated controlled","Cut from handoff","Transition to challenge 2","Photorealistic documentary hallway scene with two clinicians in quiet tense discussion, realistic passive-aggressive dismissiveness from one, calm controlled posture from other, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet visible during pause. Coworker: male, mid-30s, impatient posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot","Interpreter services; Compliance obligations","Interpreter Services Policy; CLAS Language Access","LO3","Compliance","Reject unauthorized ad hoc interpretation","C2","D2","Operational conflict","High","Supervisor and interpreter line","Record interpreter request and delay reason","Prevents medication misunderstanding from inadequate interpretation","High","Mapped","content","","","","","","","",""
"M01-S20-EC3","Act 2","S20-EC3","Educator Side Comment: Interpreter Shortcut Risk","Hallway outside patient room","This is where many teams fail. The shortcut sounds practical, but skipping qualified interpretation converts a communication issue into a patient safety issue. A competent clinician identifies language barrier type, activates interpreter workflow, and records interpreter method and ID.","32","Educator coaching","Soft instructional overlay","Return to narrative flow","Photorealistic documentary hallway scene with two clinicians in quiet tense discussion, realistic passive-aggressive dismissiveness from one, calm controlled posture from other, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet visible during pause. Coworker: male, mid-30s, impatient posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot","Operational judgment; Interpreter services; Compliance obligations","Interpreter Services Policy; CLAS Language Access","LO3","In-the-moment instruction","Interpreter activation and documentation","C2","D2","educator commentary","High","Supervisor and interpreter line","Record interpreter request and delay reason","Bridges narrative signal to safety decision making","Moderate","Mapped","educator-commentary","","","","","","","",""
"M01-S21","Act 2","S21","Mentor Review with Aldrin","Chart review corner — nursing station","Aldrin reviews Marites' note from the prior visit and pauses. The empathy is there. The observation is sharp. But then he points to a field: comprehension verification. It is blank. He says quietly: You did the right thing in the room. But the record does not show how you know she understood. Good care that is not documented is good care that cannot be defended. This is the standard: not just what you said, but what the patient demonstrated back — and that you wrote it down.","60","Somber observant","Cut from hallway","Cut to challenge 2 question","Photorealistic documentary image of two nurses reviewing chart notes together at nursing station, mentor pointing to documentation gap, warm concentrated expressions, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Aldrin: male Filipino-American, early 40s, calm mentor posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot profile","Documentation expectations; Team collaboration","Clinical Documentation Policy; Mentorship Protocol","LO3|LO5","Documentation","Defensible documentation standards","N/A","N/A","Mentorship narrative","Moderate","N/A","Complete comprehension verification field in visit notes","Protects patient continuity and agency defensibility","Moderate","Mapped","content","","","","","","","",""
