"shot_id","order_number","shot_name","colour_scheme","scene_context","dialogue","lora_1","lora_2","lora_3","ref_image_1","ref_image_2","ref_image_3","video_file","audio_vo","positive_image","negative_image","positive_video","negative_video","row_index","info"
"M01-S04","11","S04","soft natural window light, clinical documentary realism, home care bedroom","Mr. Henderson’s bedroom. Tess performing wound care assessment, elderly patient in hospital bed, professional focused interaction, bracelet visible","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Mr. Henderson’s bedroom. Tess performing wound care assessment, elderly patient in hospital bed, professional focused interaction, bracelet visible. Visual palette and lighting: soft natural window light, clinical documentary realism, home care bedroom. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","11","content"
"M01-S05","12","S05","warm afternoon home lighting, intimate documentary style","Mr. Henderson’s living room. Tess explaining care plan at kitchen table, building rapport, bracelet visible","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Mr. Henderson’s living room. Tess explaining care plan at kitchen table, building rapport, bracelet visible. Visual palette and lighting: warm afternoon home lighting, intimate documentary style. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","12","content"
"M01-S06","13","S06","natural daylight, clinical home setting documentary","Mr. Henderson’s home. Tess teaching wound care and medication, patient listening attentively","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Mr. Henderson’s home. Tess teaching wound care and medication, patient listening attentively. Visual palette and lighting: natural daylight, clinical home setting documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","13","content"
"M01-S07","14","S07","warm evening home light, documentary realism","Mr. Henderson’s living room. Tess wrapping up visit, reviewing next steps with patient","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Mr. Henderson’s living room. Tess wrapping up visit, reviewing next steps with patient. Visual palette and lighting: warm evening home light, documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","14","content"
"M01-S08","15","S08","bright clinical agency lighting, professional documentary style","Home health agency nursing station. Tess at workstation reviewing patient charts pre-shift","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Home health agency nursing station. Tess at workstation reviewing patient charts pre-shift. Visual palette and lighting: bright clinical agency lighting, professional documentary style. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","15","content"
"M01-S09","16","S09","warm natural daylight, modest home interior","Second patient’s modest kitchen. Tess conducting initial assessment with elderly East Asian patient and daughter","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Second patient’s modest kitchen. Tess conducting initial assessment with elderly East Asian patient and daughter. Visual palette and lighting: warm natural daylight, modest home interior. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","16","content"
"M01-S10","17","S10","natural kitchen daylight, documentary realism","Second patient’s kitchen table. Tess using teach-back method during insulin instruction, bracelet visible","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Second patient’s kitchen table. Tess using teach-back method during insulin instruction, bracelet visible. Visual palette and lighting: natural kitchen daylight, documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","17","content"
"M01-S11","18","S11","warm natural home lighting, clinical documentary","Third patient’s bedroom. Tess addressing gender-concordant care request with family, professional and respectful","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Third patient’s bedroom. Tess addressing gender-concordant care request with family, professional and respectful. Visual palette and lighting: warm natural home lighting, clinical documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","18","content"
"M01-S12","19","S12","warm afternoon bedroom light, documentary style","Third patient’s bedroom. Tess performing wound care after proper consent and accommodation, bracelet visible","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Third patient’s bedroom. Tess performing wound care after proper consent and accommodation, bracelet visible. Visual palette and lighting: warm afternoon bedroom light, documentary style. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","19","content"
"M01-S13","20","S13","cool fluorescent agency lighting, professional documentary","Agency nursing station. Tess documenting visits and escalating concerns to supervisor","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Agency nursing station. Tess documenting visits and escalating concerns to supervisor. Visual palette and lighting: cool fluorescent agency lighting, professional documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","20","content"
"M01-S14","21","S14","warm golden late afternoon light, residential exterior documentary","Mr. Henderson’s front porch. Tess leaving after successful visit, patient showing gratitude, bracelet catching golden light","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Mr. Henderson’s front porch. Tess leaving after successful visit, patient showing gratitude, bracelet catching golden light. Visual palette and lighting: warm golden late afternoon light, residential exterior documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","21","content"
"M01-S15","22","S15","pre-dawn warm + cool blue light, intimate documentary","Filipino kitchen at 4:45 AM. Tess preparing for the day, rice cooker and garlic sounds, reflective moment","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Filipino kitchen at 4:45 AM. Tess preparing for the day, rice cooker and garlic sounds, reflective moment. Visual palette and lighting: pre-dawn warm + cool blue light, intimate documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","22","content"
"M01-S16","23","S16","warm morning kitchen light, emotional documentary realism","Tess performing Mano Po with lola, moment of blessing and guidance","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Tess performing Mano Po with lola, moment of blessing and guidance. Visual palette and lighting: warm morning kitchen light, emotional documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","23","content"
