Module,Location,Text to Clone (TTS Narration Script),Image Generation Prompt,Video Generation Prompt,Estimated Video Length
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 1/Card 2 — Content,"When an emergency is declared, your first four steps are: stop non-urgent visits, contact your supervisor immediately, attempt to contact every patient on your schedule and document every attempt, and follow the agency communication tree. Do not assume someone else made contact with your patients. Document every call with the time and outcome.",A home health nurse on the phone with a clipboard in her car during a visible emergency situation. Focused and professional. Photorealistic. Overcast dramatic sky visible through car window.,A 45-second animated sequence showing 4 numbered steps. Each step has an icon and a brief action label. Step 4 shows the agency communication tree chain.,45 seconds
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 1/Card 3 — Challenge,"Scenario. You receive a shelter-in-place order at 6:15 AM. Four patients are scheduled. Your supervisor does not answer on the first call. List your actions in order. What do you document? When do you escalate and to whom?",,, 
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 2/Card 1 — Summary,"Home health agencies use a four-class triage system for emergencies. Class One patients are life-sustaining technology dependent — ventilators, infusion pumps, oxygen. They are contacted first. Class Two patients have significant medical needs. Class Three have moderate needs. Class Four can manage independently. You should know your patients' triage class before an emergency happens.",An infographic-style illustration of four home health patients each representing a different triage class. Icons showing medical equipment dependency. Clean professional graphic.,A 35-second animated card. Four patient icons labeled Class I through IV with brief labels and color coding. Clock icons show contact time requirements for each class.,35 seconds
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 2/Card 2 — Content,"Class One: technology-dependent patients must be contacted within thirty minutes of emergency activation. These patients cannot survive without power, supplies, or clinical support. Class Two: significant medical needs, contact within one hour. Class Three: stable patients, contact within four hours. Class Four: independent. For evacuation, your role is to facilitate and coordinate with emergency services. You do not transport patients yourself.",A home health coordinator on a phone with a triage list on a tablet. Emergency vehicles visible through a window. Professional and focused. Photorealistic.,A 45-second animation showing each class with a countdown timer. Class I shows a ventilator icon with 30-minute clock. Evacuation scene shows nurse coordinating with paramedics — not driving a patient.,45 seconds
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 2/Card 3 — Challenge,"Wildfire evacuation order. Five patients: A is on a home ventilator. B is ambulatory with stable wound care. C has dementia and lives alone. D has already refused to evacuate. E has her daughter present and available. In what order do you contact them, and what special action applies to each?",,, 
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 3/Card 1 — Summary,"During an emergency, you are still legally required to document. Systems may be down. Your EMR may be unavailable. But the documentation obligation does not disappear — it shifts to paper. What you write during an emergency becomes the legal and clinical record of what happened to every patient under your care.",A nurse writing on a paper form in a car during a stormy day. Professional attire. Clipboard and pen in hand. A mobile phone on the seat showing the agency number. Photorealistic.,A 30-second animated card. EMR screen goes offline with an X — paper form appears with a checkmark. Text: The obligation doesn't disappear. It shifts.,30 seconds
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 3/Card 2 — Content,"Document every contact attempt with timestamps. Document patient status at the time of contact. Document care provided or deferred and why. If a patient was moved, document their new location. Document all instructions given to the patient or family. Use the agency paper backup form. Sign and date every page. Transfer everything to the EHR within twenty-four hours of system restoration.",A close-up of a nurse's hands filling out a paper emergency backup form with a pen. Clock visible in the background showing the time. Clean professional composition. Photorealistic.,A 45-second animated checklist. Each required documentation element appears with a checkbox. Final frame: Transfer to EHR within 24 hours of system restoration.,45 seconds
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 3/Card 3 — Challenge,"The EHR is down. You completed wound care on a Class Two patient — new infection signs. You attempted two other patients with no answer. Using paper backup, what fields do you document for each event? What happens to this documentation when the system comes back online?",,, 
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 1/Card 1 — Summary,"A complaint, a grievance, and an allegation are three different types of events, each requiring a different response. Your job as a field worker is not to investigate. It is to receive the concern, document it accurately, and submit it to the right person without delay.",A calm home health nurse listening attentively to an upset family member at a patient's doorway. Empathetic and professional body language. Photorealistic. Natural indoor light.,A 30-second animation showing three labeled pathways: Complaint — Grievance — Allegation. Each branches to a different required response. Clean professional 2D style.,30 seconds
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 1/Card 2 — Content,"A complaint is an informal concern about service quality — the nurse was late, the visit was too short. You address what you can, document it, and submit it to your supervisor. A grievance is a formal allegation that patient rights were violated. It requires a documented intake, administrative review, and a written response within ten working days. An allegation is suspected abuse, neglect, or exploitation. It requires immediate mandatory reporting under state law. Suspicion is sufficient. You do not need proof.",A split-screen comparison showing three types of events with different severity icons. Professional healthcare document aesthetic. Clean and educational.,A 45-second animated card with three distinct panels — Complaint light yellow, Grievance amber, Allegation red. Each shows the event type, definition, and required response action.,45 seconds
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 1/Card 3 — Challenge,"Scenario. The patient's son says: Last week someone left bruises on my father's arms during his bath. I want this reported officially. I'm calling the state. Is this a complaint, grievance, or allegation? What are your immediate steps, and what should you never say in this moment?",,, 
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 2/Card 1 — Summary,"When a patient or family files a formal grievance, a documented process begins. The agency has ten working days to respond in writing. That deadline is a CMS Conditions of Participation requirement — not a guideline. Your role as the field worker is intake and immediate escalation to your administrator or supervisor.",A professional home health supervisor reviewing a patient grievance document at a desk. Focused and organized. Clean office environment. Photorealistic.,A 30-second animated timeline. Day 0: Grievance received. Day 10: Written response due. Arrow spans the ten-day window with action labels.,30 seconds
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 2/Card 2 — Content,"The grievance process has six steps. One: receive the grievance — any staff member can receive it. Two: acknowledge and document everything — date, time, patient name, nature of concern. Three: submit to the administrator immediately — do not wait until the end of your shift. Four: the administrator investigates. Five: the patient receives a written response within ten working days. Six: the event is logged in the agency grievance register.",An administrator reviewing a written grievance resolution document with a patient-facing letter visible. Professional healthcare setting. Photorealistic.,A 45-second animated six-step flowchart. Each step appears in sequence with a labeled icon. Step 3 highlights IMMEDIATELY in a different color. Step 5 shows a calendar with Day 10 circled.,45 seconds
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 2/Card 3 — Challenge,"Scenario. A patient calls your personal cell at seven PM. She says: I want to file a formal complaint about what happened today. The nurse was rude and I want it documented. You are not the administrator. What are your exact next steps? What do you document, and by when?",,, 
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 3/Card 1 — Summary,"When a patient or family is upset, the first sixty seconds of your response determine whether the situation stays manageable or escalates. Your goal is not to end the conversation. Your goal is to create the conditions for a professional one. That starts with listening and validating — not defending.",A calm and composed home health nurse standing in a doorway while a visibly upset family member gestures. The nurse's expression is focused and empathetic. Photorealistic.,A 30-second animated scene. An escalating conversation bar graph flattens when the nurse uses active listening techniques. Text: The first 60 seconds matter.,30 seconds
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 3/Card 2 — Content,"When a patient or family is upset, say: I hear your concern, and I want to make sure it is documented accurately. I am going to connect you with the right person right away. Then stop talking. Do not say: I didn't do anything wrong. Do not say: that's not what happened. Do not redirect them to your supervisor without first acknowledging their concern. Validate without admitting liability.",A nurse handing a business card to a family member with a calm and professional expression. Clean home entryway. Photorealistic. Dignified interaction.,A 45-second animation. Green speech bubble shows correct phrases. Red speech bubble shows forbidden phrases with an X. Side-by-side comparison builds through the card.,45 seconds
ACHC-ART-M03 — Complaints & Grievances,Journey/M03/Lesson 3/Card 3 — Challenge,"Scenario. You arrive for a visit. The daughter blocks the door and says loudly: You hurt my mother last week. I don't want you in this house. I am going to have your license revoked. Using the principles from this lesson: what do you say, what do you not say, and what do you do next?",,, 
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 1/Card 1 — Summary,"Protected Health Information is any information that can identify a patient and relates to their health status, care, or payment. There are eighteen categories of PHI — name, address, date of birth, phone number, photos, and twelve others. A HIPAA violation does not require intent. Leaving a chart visible on your car seat is a violation. Discussing a patient by name in a public place is a violation.",A nurse closing a patient folder in her car with awareness of her surroundings. City setting visible through window. Photorealistic. Professional privacy awareness.,A 30-second animated card. Eighteen PHI category icons appear. Then bold text: Violation does not require intent. Two field scenario icons — chart on car seat and conversation in public — each with a red X.,30 seconds
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 1/Card 2 — Content,"The minimum necessary standard means you use or disclose only the PHI needed to accomplish the specific task — nothing more. You are permitted to share PHI for three purposes without patient authorization: treatment with the direct care team, payment and billing, and healthcare operations such as quality review. You may not share PHI with an employer, with a family member who does not have authorization, or with anyone not directly involved in the patient's care.",A secure medical record icon surrounded by a shield with three labeled access zones: Treatment, Payment, Operations. Clean vector illustration style.,A 45-second animated card. Three green permission doors open — Treatment, Payment, Operations. Multiple red permission doors stay closed: employer family unauthorized third parties.,45 seconds
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 1/Card 3 — Challenge,"Scenario. You are at your car outside a patient's building. A neighbor approaches and says: I've noticed you visiting Mrs. Johnson. Is she okay? We haven't seen her walking in weeks. The patient has signed no authorization for this person. What do you say?",,, 
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 2/Card 1 — Summary,"Every device you use for work is a HIPAA security asset. Your phone, your tablet, your work laptop, even the paperwork on your front seat. The field environment creates security risks that a clinical facility doesn't have — you work in patient homes, in your car, in public spaces. The Security Rule requires you to actively manage those risks every day.",A nurse locking her phone with a passcode before placing it in her bag. Her car is parked outside a patient's home. Clean and professional. Photorealistic.,A 30-second animated card. Device icons appear — phone tablet laptop car. A security lock icon covers each one. Text: Every device is a HIPAA asset.,30 seconds
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 2/Card 2 — Content,"Required: password or biometric lock on all work devices. Encrypted messaging only when sharing PHI. Use only agency-approved apps to access the EHR. Lock your car whenever patient documents are inside. Never photograph a patient without documented consent. Prohibited: texting PHI over personal SMS. Posting anything patient-related on social media. Accessing patient records over unsecured public Wi-Fi. Leaving printed records visible in a parked car.",A split panel image: left side shows secure practices with green indicators, right side shows prohibited behaviors with red X indicators. Clean and educational visual design.,A 45-second two-column animation. Left column: Required — each practice appears with a green checkmark. Right column: Prohibited — each behavior appears with a red X. Clean 2D style.,45 seconds
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 2/Card 3 — Challenge,"Scenario. You are at your third visit when you realize you left a printed medication list at your second patient's home. The list includes name, date of birth, and full medication regimen. What are your obligations? What do you do right now?",,, 
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 3/Card 1 — Summary,"HIPAA gives patients four rights over their own information. The right to access their records. The right to amend inaccurate information. The right to an accounting of disclosures. And the right to request restrictions on use. When a breach may have occurred, your report to your Privacy Officer starts the breach notification process. The clock begins at discovery — not confirmation.",An elderly patient reviewing her own medical records with a nurse who is explaining the document. Professional and respectful interaction. Natural light. Photorealistic.,A 30-second animated card. Four patient rights icons appear in sequence. Then a clock animation: Discovery Day 0 — Notification deadline Day 60. Bold text: Report immediately.,30 seconds
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 3/Card 2 — Content,"A breach is any unauthorized access, use, or disclosure of unsecured PHI that compromises its security or privacy. When you discover or suspect a breach, report to your Privacy Officer immediately — do not wait until your shift ends, do not wait for confirmation that harm occurred. The agency has sixty days to notify affected patients and Health and Human Services. Your immediate report is what starts that process.",A nurse on the phone reporting a concern to a supervisor with a serious and professional expression. Indoor setting. Natural light. Photorealistic.,A 45-second animated breach response flowchart. Discovery icon — Immediate report to Privacy Officer — Agency investigation — 60-day notification deadline for HHS and affected patients.,45 seconds
ACHC-ART-M04 — HIPAA Privacy & Security,Journey/M04/Lesson 3/Card 3 — Challenge,"Scenario. You sent a text with a patient's full name, diagnosis, medications, and visit notes. You realize you sent it to the wrong number. Is this a reportable breach? What are your next actions within the next thirty minutes?",,, 
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 1/Card 1 — Summary,"Standard precautions exist for one reason: you cannot tell who is infectious by looking at them. Many patients with bloodborne infections have no symptoms. A patient who looks and feels healthy can transmit HBV, HCV, or HIV through a single exposure. Standard precautions are not applied to high-risk patients — they are applied to all patients, all the time.",A home health nurse donning gloves before entering a patient's home. Clean, professional. Natural daylight. Photorealistic. Confident and safe demeanor.,A 30-second animated card. Patient silhouettes all labeled with a question mark. Standard precautions shield covers all of them equally. Text: Every patient. Every visit.,30 seconds
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 1/Card 2 — Content,"Standard precautions apply to blood, all body fluids except sweat, non-intact skin, and mucous membranes. The five moments of hand hygiene are: before touching the patient, before any aseptic procedure, after body fluid exposure risk, after touching the patient, and after touching patient surroundings. Soap and water for fifteen to twenty seconds. Alcohol-based hand rub for twenty to thirty seconds. Important: alcohol-based hand rub does not kill C. diff or norovirus. Use soap and water for those.",A nurse performing the five-moment hand hygiene process at a patient's kitchen sink. Step-by-step visual. Photorealistic. Clear and educational.,A 45-second animated five-moment sequence. Each moment appears with an icon and label. Timer shows 15-20 seconds for soap and water. Red alert icon for C. diff and norovirus: Use soap and water.,45 seconds
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 1/Card 3 — Challenge,"Scenario. You arrive for wound care. No running water — the pipes froze. The wound dressing is saturated. Can you proceed? What is your decision process? What do you document?",,, 
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 2/Card 1 — Summary,"PPE selection must match the procedure's exposure risk. Wearing gloves for a blood draw is not enough if splatter is possible — you also need eye protection. Bag technique is your infection barrier between patients. If your bag touches a contaminated surface and then opens at your next patient's home, you have transferred that contamination.",A nurse opening her nursing bag on a disposable blue pad on a patient's kitchen table. Gloves on. Professional and deliberate. Photorealistic.,A 30-second animated card. PPE icons match to procedure risk level. Bag technique diagram shows barrier placement on a surface.,30 seconds
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 2/Card 2 — Content,"PPE matrix: gloves for any body fluid contact. Gown when fluid splash or environmental contamination is likely. Surgical mask for droplet precautions. N95 for airborne precautions. Eye protection for any splash risk during a procedure. Bag technique: place your bag on a disposable barrier — never on the floor, never on the kitchen counter without a barrier. Clean your hands before and after accessing the bag. Keep it closed when you are not actively retrieving supplies.",A nursing bag on a clean disposable barrier on a table next to a gloved nurse's hands. Professional infection control setup. Photorealistic.,A 45-second PPE matrix animation. Five procedure types each get the correct PPE icon highlighted. Then bag technique steps shown as clean numbered animation.,45 seconds
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 2/Card 3 — Challenge,"Scenario. You enter the home for wound care. The patient's spouse and two children are visibly sick — coughing, sneezing, one child with a 103-degree fever. The patient is not symptomatic. What PPE do you select and why? Do you proceed? What do you document?",,, 
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 3/Card 1 — Summary,"Post-exposure prophylaxis for HIV is most effective when started within two hours of exposure. After seventy-two hours it loses its effectiveness entirely. Every minute between exposure and medical evaluation is part of the therapeutic window. The post-exposure response protocol is not a suggestion — it is a timed medical response.",A nurse washing her hands at a sink with urgency. Clock visible on the wall showing the current time. Photorealistic. Clean clinical feeling in a home setting.,A 30-second animated clock countdown card. HIV PEP effectiveness bar decreases after 2 hours and reaches zero at 72 hours. Bold text: Every minute counts.,30 seconds
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 3/Card 2 — Content,"After a needlestick: one, remove your glove and wash the site with soap and water for at least thirty seconds. Two, call your supervisor immediately — not tomorrow, within two hours. Three, seek medical evaluation at the designated facility within two hours. This is where the PEP decision is made. Four, document source patient information to facilitate bloodborne pathogen testing if the patient consents. Five, complete the exposure incident report before you leave for the day.",A nurse at a sink washing her hands with soap and water with a focused expression. A phone is visible on the counter showing she will be calling next. Photorealistic.,A 45-second animated 5-step protocol. Each step appears numbered with a time requirement label. Step 3 flashes with a 2-hour urgency indicator.,45 seconds
ACHC-ART-M05 — Infection Control,Journey/M05/Lesson 3/Card 3 — Challenge,"Scenario. You are giving a subcutaneous injection. The needle slips and punctures your finger through your glove. The patient is known to have Hepatitis C. List your first four actions in the correct order. Include what you do with the patient, what you say, and your reporting timeline.",,, 
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 1/Card 1 — Summary,"Communication barriers are not exceptions in home health. They are the rule. The average home health patient is elderly, managing multiple conditions, receiving complex medication instructions, and may have language, hearing, cognitive, or emotional barriers that affect every visit. Recognition is your first clinical skill.",A diverse elderly patient with a home health nurse. The nurse is leaning forward with active listening posture. A phone interpreter is on the table nearby. Photorealistic.,A 30-second animated intro card. Patient silhouette surrounded by seven barrier icons. Text: Barriers are the rule — not the exception. Recognition is your first clinical skill.,30 seconds
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 1/Card 2 — Content,"The seven categories are: Language — limited English proficiency or a different primary language. Physical — hearing loss, vision impairment, speech difficulties. Gender — care preferences or communication taboos related to gender. Cultural — different beliefs about illness, authority, or disclosure. Emotional — fear, grief, denial, or anxiety blocking the patient's ability to receive information. Perceptual — you and the patient interpret the same event differently. Interpersonal — distrust, past negative healthcare experiences, or power dynamics.",A clean infographic showing seven labeled barrier categories with a visual icon for each one. Medical illustration style on a white background.,A 45-second animated card. Seven numbered barrier icons appear one at a time with a one-sentence definition each. Clean and educational. Each icon uses a distinct color.,45 seconds
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 1/Card 3 — Challenge,"Scenario. Your patient speaks Tagalog with limited English. You need to explain a complex new insulin regimen. The patient's son offers to translate. Is this acceptable? What are the clinical risks of using a family member as an interpreter for clinical content? What is the correct action?",,, 
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 2/Card 1 — Summary,"A patient nodding does not mean a patient understood. Studies show patients forget forty to eighty percent of what clinicians tell them immediately after the encounter. The teach-back method is the only evidence-based technique that verifies actual comprehension — not just that information was delivered.",A nurse asking a patient to demonstrate how to use an insulin pen. The patient is attempting the demonstration. Focused and realistic interaction. Photorealistic.,A 30-second animated split screen. Left: nurse talks — patient nods — question mark appears. Right: nurse asks patient to demonstrate — patient shows correct technique — green checkmark. Text: Teaching ≠ Learning.,30 seconds
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 2/Card 2 — Content,"Teach-back in five steps. One: teach in small chunks — one concept at a time. Two: ask the patient to show you, not just confirm. Say: Can you show me how you will do this? Never ask: Do you understand? Three: if they can't demonstrate correctly, simplify, use visuals, and re-explain. Do not blame the patient. Four: repeat until the patient demonstrates correctly. Five: document the outcome.",A clean numbered list of five teach-back steps on a neutral background with a nurse icon demonstrating each step. Educational and professional.,A 45-second step-by-step animation. Five steps appear in sequence. Step 2 highlights the correct question versus the incorrect question in green and red. Step 5 shows documentation.,45 seconds
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 2/Card 3 — Challenge,"Scenario. You taught insulin pen technique. During teach-back the patient dials 50 units instead of 5, then becomes embarrassed and says he's tired and wants to stop. What do you do now? What do you document? What is the specific safety concern if this patient self-administers tonight?",,, 
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 3/Card 1 — Summary,"Thirty-six percent of US adults have basic or below-basic health literacy. For your typical home health patient — elderly, managing multiple conditions, potentially speaking English as a second language — that rate is significantly higher. Your clinical instructions are competing with fear, pain, fatigue, and confusion. Plain language is not a courtesy. It is a clinical obligation.",A home health nurse sitting next to an elderly patient who is looking at a printed instruction sheet with obvious confusion. Warm indoor light. Empathetic interaction. Photorealistic.,A 30-second animated card. Stat callout: 36% of US adults have low health literacy. Then an icon of competing factors around a patient: fear pain fatigue confusion. Text: Plain language is clinical care.,30 seconds
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 3/Card 2 — Content,"Plain language: write and speak at a fifth or sixth grade reading level. Give one instruction at a time. Use active language — say you should take this pill instead of the pill should be taken. Avoid medical jargon. Use visuals and demonstrations. For interpreter services: patients with limited English proficiency have a federal right under Title VI to a qualified interpreter at no cost. Family members may NOT interpret for informed consent, medication instructions, diagnosis, or clinical education.",A nurse holding up a simple illustrated patient instruction card while explaining to an elderly patient. Clear visual communication. Photorealistic. Warm home environment.,A 45-second animation. Plain language do's and don'ts appear. Then a Title VI interpreter rights banner. Family member icon with a red X over clinical content. Agency phone interpreter icon with a green checkmark.,45 seconds
ACHC-ART-M06 — Communication Barriers,Journey/M06/Lesson 3/Card 3 — Challenge,"Scenario. A patient asks you to review her care plan. She nods throughout. You notice she is holding the instruction sheet upside down, and she has not asked a single question. What does this observation tell you? What do you do next? What do you document?",,, 
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 1/Card 1 — Summary,"The Occupational Safety and Health Act covers you regardless of where you work. A patient's home is your workplace when you are in it. Your employer is required to assess workplace hazards including home environments, provide you with the PPE necessary to work safely, and cannot retaliate against you for raising a safety concern or refusing work that poses an imminent danger.",A home health nurse at the entrance of a patient's home surveying the environment before entering. Professional and alert expression. Suburban neighborhood setting. Photorealistic.,A 30-second animated card. A home silhouette transforms into a workplace icon. Text: A patient's home is your workplace. OSH Act protections follow you inside.,30 seconds
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 1/Card 2 — Content,"Your four OSHA rights are: the right to a safe workplace — your employer must identify and control hazards you encounter in the field. The right to information — you can request a Safety Data Sheet for any chemical you are exposed to. The right to refuse imminently dangerous work — a serious and immediate threat entitles you to refuse without fear of retaliation. And the right to file a confidential complaint with OSHA at 1-800-321-OSHA.",Four shield icons labeled with OSHA rights on a clean white background. Professional safety communication style.,A 45-second animated card. Four OSHA right shields appear in sequence. Shield 3 highlights: Refuse Imminent Danger — No Retaliation. Shield 4 shows the OSHA phone number.,45 seconds
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 1/Card 3 — Challenge,"Scenario. You arrive and smell a strong chemical odor. The family says they mixed bleach and ammonia to clean. Your eyes are burning. The patient is in the bedroom. What hazard is present? What is the immediate risk to you and the patient? What are your first actions?",,, 
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 2/Card 1 — Summary,"The Globally Harmonized System standardizes how chemical hazards are communicated on labels and Safety Data Sheets. Nine hazard pictograms identify the type of hazard at a glance — flammable, corrosive, toxic. A Safety Data Sheet has sixteen sections. Section eight is the one you use most — it tells you exactly what PPE is required and what the exposure limits are.",A GHS chemical label graphic with nine pictogram icons clearly visible. Professional chemical safety design. Clean educational illustration.,A 30-second animated SDS explainer. Nine GHS pictogram icons appear labeled. SDS document opens to Section 8 highlighted in orange. Text: Section 8 = Your PPE requirements.,30 seconds
