"Scene_ID","Slide_Type","Scene_Title","Detailed_Image_Description","FLUX1Dev_Image_Prompt","PuLID_Character_Guidance","Negative_Prompt","Camera_Framing","Status"
"M01-S04","content","The Christmas Parol and What Home Sounds Like","","Photorealistic documentary interior of a modest Filipino living room with a traditional star-shaped parol lantern glowing softly on the wall, family photos, morning light filtering through curtains, 35mm lens, warm authentic tones.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Minimal — focus on parol and Tess' face in reflection.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — Tess in foreground, parol in background","NEEDS REVIEW — LTX/Detail missing"
"M01-S05","content","Grandmother and the Bracelet","","Photorealistic close-up of elderly Filipino woman's weathered hands tying a simple woven thread bracelet onto a younger woman's wrist, warm soft interior light, shallow depth of field, documentary realism, 85mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Focus on hands and bracelet. Lola continuity from S02.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Extreme close-up on hands to medium two-shot","NEEDS REVIEW — LTX/Detail missing"
"M01-S06","content","Tess at Work: The Philippine Clinic","","Photorealistic documentary image of Filipina nurse at bedside in modest Philippine clinic demonstrating wound care to elderly female patient, daughter present, warm fluorescent-balanced light, 35mm lens, authentic clinical setting.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Elderly Filipino female patient. Daughter in background.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium over-shoulder alternating","NEEDS REVIEW — LTX/Detail missing"
"M01-S07","content","Po and Opo — The Language of Respect","Philippine community clinic hallway. Tess walks toward a doorway at the same moment an elderly male patient approaches from the opposite direction, using a cane. Without breaking stride, Tess steps to the side and holds the door frame open, gesturing slightly toward the patient with her other hand — ""after you."" Her body is angled deferentially. Her expression is warm, natural — this is reflex, not courtesy performance. The patient passes through with a slow nod of acknowledgment. The hallway is narrow: tiled floor, fluorescent strip lighting, bulletin board with health advisories in Tagalog and English. A laundry cart is pushed by an orderly in the far background. The scene is functional and unhurried. Tess's bracelet is visible on the arm holding the door.","Photorealistic documentary medium shot, Philippine community clinic narrow hallway, Filipina nurse early 30s in navy scrubs standing to the side holding door frame open with one arm, other hand gesturing ""after you"" to elderly Filipino male patient with cane, deferential natural body posture, warm reflex expression not performative, tiled floor, fluorescent strip lighting, Tagalog/English health advisory bulletin board, orderly with laundry cart blurred in background, woven bracelet visible on door-holding arm, 35mm lens, documentary realism, authentic cultural interaction.","Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, badge, stethoscope. Philippine clinic setting. Elderly male patient: Filipino, 70s, cane. Natural fluorescent hallway light.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — side angle showing deference in body language","COMPLETE"
"M01-S08","content","Packing the Bag","Tess's bedroom — same modest room from S01b, now lit by a slightly brighter overhead lamp, late evening. The bed is covered in organized stacks: three sets of labeled manila folders fanned out, a clear plastic sleeve containing a nursing license, a small stack of credential evaluation documents, a vaccination record booklet with a red cover. A dark blue canvas nursing bag sits open on the floor. Tess is crouching beside it, carefully placing a folded document into a labeled folder. Beside the bag: a small plastic container with a red label (sinigang mix), a passport-sized clinic photo. The bracelet is on her wrist — she is about to remove it and wrap it in a small white cloth visible beside her knee. Her expression: methodical, focused. Everything has a place.","Photorealistic documentary medium close shot, modest Filipino bedroom, Filipina nurse early 30s crouching beside open dark blue canvas nursing bag on floor, organized labeled manila folders and credential documents stacked on bed behind her, nursing license in clear plastic sleeve visible, small plastic sinigang powder container and clinic photo beside bag, white cloth beside her knee, woven bracelet still on left wrist, bright overhead lamp lighting, methodical focused expression, 35mm lens, documentary realism, authentic preparation detail.","Tess, Filipina, early 30s, simple blouse, woven bracelet on left wrist (being removed and wrapped at end of scene). Same bedroom. Evening lamp light. Bracelet wrapped — not on wrist until after landing.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Overhead medium insert","COMPLETE"
"M01-S09","content","Airport: The Goodbye That Does Not Ask for Crying","Ninoy Aquino International Airport departure area — mid-morning. Tess stands near the security line entry in navy scrubs with her packed bag over one shoulder. Her family clusters around her in a loose circle — not dramatic, just present. Her mother (mid-50s, house dress, practical short hair) holds the boarding pass in both hands, checking it. Her kuya (late 20s, hospital scrubs — he came directly from a shift) hands Tess a SIM card in a small envelope. Her tita (50s, floral blouse) stands slightly back, watching. Her grandmother (same elderly woman from S02 and S05 — white hair, cream church dress) holds Tess's right hand with both of hers. Tess is looking at her grandmother. Airport background: busy but not theatrical. Overhead departure board. Other travelers walking through. Fluorescent overhead with skylights admitting pale morning light. No tears visible. Just presence, contact, and the practicality of love.","Photorealistic documentary medium wide shot, Ninoy Aquino International Airport departure area mid-morning, Filipina nurse early 30s in navy scrubs with bag on shoulder surrounded by family cluster, mother mid-50s in house dress checking boarding pass, kuya late 20s in hospital scrubs handing SIM card envelope, tita 50s in floral blouse standing back watching, elderly grandmother in white hair and cream church dress holding granddaughter's right hand with both hands, no tears — practical present farewell energy, departure board and other travelers blurred in background, fluorescent and skylight morning light, 35mm lens, documentary realism, authentic Filipino family goodbye.","Tess, Filipina, early 30s, navy scrubs, bag on shoulder. No bracelet visible — wrapped in bag from S08. Lola: white hair, cream church dress — continuity from S02 and S05. Kuya: late 20s, hospital scrubs. Mother: mid-50s, house dress. Tita: 50s, floral blouse. Airport — morning light.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide establishing to medium close on bracelet touch","COMPLETE"
"M01-S10","content","Landing: The First Cultural Shock","U.S. airport arrivals hall — large, high-ceilinged, brightly lit with commercial lighting. Tess walks through the arrivals area pulling her wheeled bag, nursing bag over her shoulder. Other travelers walk briskly around her, eyes on phones or departure boards. Nobody interacts. Tess holds a printed paper with an address. She looks around — not lost, just calibrating. The environment is efficient and clean and completely indifferent. Her expression: observant, processing, slightly still. No bracelet visible yet — still in bag. Cut to: a dim small furnished room — temporary housing. Tess sits on the edge of a narrow bed, a paper cup of instant noodles in her hand, phone propped against her nursing bag in video call mode. On the phone screen: the living room from S03/S04, the parol visible on the wall, her mother's hand holding the phone. The room is spare — a dresser, a window showing night lights outside, a radiator. Tess watches the phone screen while eating. Her expression: tired, okay, not okay.","Photorealistic documentary medium shot, two-part card: first — large U.S. airport arrivals hall with high commercial lighting, Filipina nurse early 30s pulling wheeled bag with nursing bag over shoulder amid brisk travelers who don't interact, printed address paper in hand, observant calibrating expression; second — dim temporary furnished room, narrow bed, Filipina nurse sitting on bed edge with paper cup instant noodles and phone propped against bag showing parol on wall through video call, spare dresser and window with night lights, tired-okay expression, 35mm lens, documentary realism.","Tess, Filipina, early 30s, navy scrubs and travel clothes, no bracelet visible (in bag), nursing bag. Airport — commercial overhead lighting. Furnished room — night, sparse, dim. Phone screen shows parol lantern continuity from S04.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide to medium — isolation composition","COMPLETE"
"M01-S11","content","First Week: The System Is Different","Agency nursing station. Tess sits at a workstation terminal, the EHR interface on screen showing a complex patient record with multiple tabs and required fields — several fields have red asterisks indicating mandatory entry. She holds a small notebook, pen moving steadily, copying abbreviations and field names she doesn't recognize. The office around her is mid-morning functional: another nurse walks past with a chart, a phone rings at a distant desk, a printer runs. Fluorescent overhead. Tess's expression: focused, methodical, not flustered. On her left wrist — the bracelet is back. She has taken it out of the white cloth and put it on again. The notebook on the desk beside her keyboard shows neat handwriting: a list of abbreviations with her own translated notes beside each one.","Photorealistic documentary medium close shot, agency nursing station workstation, Filipina nurse early 30s seated at EHR terminal with complex patient record showing multiple tabs and red-asterisk required fields, small notebook beside keyboard with neat handwritten abbreviation translations, pen in hand, focused methodical expression, woven bracelet back on left wrist, fluorescent office overhead, other nurse walking past blurred in background, 35mm lens, documentary realism, authentic EHR learning moment.","Tess, Filipina, early 30s, navy scrubs, woven bracelet back on left wrist — first reappearance after being wrapped in S08. Badge on lanyard. Agency workstation — fluorescent. Notebook as key prop.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Over-shoulder medium close","COMPLETE"
"M01-S12","content","First Grocery Store and Small Shocks","Large U.S. grocery store — rice and grain aisle. Tess stands in front of a floor-to-ceiling rice section in casual clothing — jeans, a simple top, no scrubs (day off). She holds a standard bag of plain white long-grain rice and is looking at it with an expression caught between mild amusement and mild grief. The aisle is wide, brightly lit, anonymous. No one else is in the aisle. A cart sits beside her. She has also placed a bulb of garlic in the cart. The aisle is full of varieties she wasn't looking for. The bracelet is visible on her left wrist. Her phone is in her right hand — she is about to take a photo of the rice bag.","Photorealistic documentary medium shot, large U.S. grocery store rice and grain aisle, Filipina woman early 30s in casual jeans and simple top holding plain white long-grain rice bag, woven bracelet on left wrist, phone in right hand being raised to photograph the rice bag, shopping cart with single garlic bulb beside her, wide anonymous brightly lit aisle with floor-to-ceiling rice varieties, mild amused grieving expression, 35mm lens, documentary realism, authentic off-duty moment.","Tess, Filipina, early 30s, casual clothing (jeans, simple top — off duty), woven bracelet left wrist, no badge or scrubs. Grocery store — commercial bright lighting. Phone as key prop. Mild expression of humor and quiet cultural displacement.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — Tess in foreground, grocery aisle in background","COMPLETE"
"M01-S13","content","Resilience in Practice","Agency break room. Tess sits at the round table with a coffee mug, alone or nearly alone. Through the break room doorway — the hallway and part of the nursing station are visible. A male nurse (mid-30s, different from the antagonist coworker — a frustrated but non-hostile colleague) leans against the hallway wall, talking to another clinician, gesturing toward the ceiling with hands open as if venting about something operational. Tess watches from the doorway sightline, her expression: calm, observational, registering without judgment. Her coffee mug is held with both hands. The bracelet is visible on her left wrist. She is not performing composure — this is just how she processes. The break room is unglamorous: a small fridge, microwave, motivational poster, coffee maker.","Photorealistic documentary medium shot, agency break room, Filipina nurse early 30s seated at round table with both hands on coffee mug, observational calm expression, through doorway visible: male nurse mid-30s in hallway leaning against wall gesturing while venting to another clinician, woven bracelet on left wrist, unglamorous break room with small fridge and microwave and motivational poster, fluorescent light, 35mm lens, documentary realism, observational composure moment.","Tess, Filipina, early 30s, navy scrubs, woven bracelet left wrist, coffee mug, notebook. Break room — fluorescent. Male nurse visible through doorway: mid-30s, different person from antagonist coworker, frustrated but ordinary expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot — Tess observing","COMPLETE"
"M01-S13-EC1","educator-commentary","Educator Side Comment: First Contact Signal","","Photorealistic documentary scene of Filipina nurse in U.S. agency break room observing colleagues expressing frustration, her expression calm and observational, realistic office environment, natural light, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Seated at break room table, coffee cup, observational posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot — Tess observing","NEEDS REVIEW — LTX/Detail missing"
"M01-S14","content","Agency Orientation: Reading the Policies with New Eyes","Agency conference room — orientation day. A rectangular table with four other new hires seated around it (diverse — not described in detail). Tess sits near the middle, a large policy binder open in front of her, yellow highlighter in hand. She has highlighted several lines on the current page. The page is from a ""Language Access and Interpreter Services"" section — visible tab label on the binder's edge. The room has overhead fluorescent light, a projector screen at the front showing a slide (blurred), a whiteboard. Other new hires are at various stages of engagement — one takes notes, one looks at their phone. Tess is the most visibly engaged. Her bracelet is on her left wrist, holding the binder open. Her expression is focused, slightly struck by what she's reading.","Photorealistic documentary medium shot, agency conference room orientation, Filipina nurse early 30s seated at table with large policy binder open to Language Access section, yellow highlighter in hand with highlighted lines visible, binder edge tab showing section title, woven bracelet left wrist holding binder open, other new hires blurred in background at various engagement levels, fluorescent overhead light, blurred projector screen at front, focused slightly struck expression, 35mm lens, documentary realism, authentic policy orientation moment.","Tess, Filipina, early 30s, navy scrubs, woven bracelet left wrist, highlighter and pen. Agency conference room — fluorescent. Binder with visible Language Access tab as key prop. Focused, slightly struck expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium over-shoulder close on binder","COMPLETE"
"M01-S15","content","First Handoff: A New Rhythm","Agency nursing station — morning huddle. The charge nurse (female, 50s, reading glasses on a chain, clipboard with patient list) stands at the whiteboard, moving through the assignment list at a businesslike pace. Tess stands in the group of five or six clinicians, notebook open, writing steadily. She has underlined something on her notebook page from the previous night. When the charge nurse reaches a specific patient entry, Tess raises her hand — not dramatically, just a clear signal. The charge nurse glances at her, answers in two sentences, moves on. Tess writes. The other clinicians are in various states of attention. Aldrin (Filipino-American male, early 40s, first appearance — calm, professional polo shirt) stands two people away, noticing Tess's catch with a slight approving nod. Fluorescent morning light. Clock on the wall: 7:00 AM.","Photorealistic documentary medium wide shot, agency nursing station morning huddle, charge nurse female 50s with reading glasses at whiteboard moving through patient list, Filipina nurse early 30s in group with open notebook writing steadily, hand raised with clear targeted question gesture, Filipino-American male mentor early 40s in polo shirt two people away with slight approving nod, fluorescent morning light, clock on wall showing 7:00 AM, 35mm lens, documentary realism, authentic clinical morning handoff.","Tess, Filipina, early 30s, navy scrubs, woven bracelet, notebook. FIRST APPEARANCE of Aldrin: Filipino-American male, early 40s, polo shirt with badge, calm professional demeanor — this is his introduction scene. Charge nurse: female, 50s, reading glasses, clipboard. Agency nursing station — morning.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide ensemble narrowing to medium close on Tess","COMPLETE"
"M01-S16","content","The Rights Board: Rules Become Real","Agency hallway. A large laminated board mounted on the wall — professional, official-looking. Clearly printed headers: ""Patient Rights,"" ""Language Access,"" ""Interpreter Services Available at No Cost,"" ""Non-Discrimination Policy,"" ""Grievance Process."" The text is in English with smaller Spanish text below each section. Tess stands in front of it, partially turned toward the board, phone raised to photograph it. Her expression: attentive, studying. Not looking for something wrong — reading as orientation. The hallway is otherwise empty. Fluorescent light. The board's vinyl surface reflects slightly. Bracelet visible on the phone-holding hand.","Photorealistic documentary medium close shot, agency hallway, official laminated wall board with headers for Patient Rights, Language Access, Interpreter Services at No Cost, Non-Discrimination Policy, and Grievance Process in English with Spanish below, Filipina nurse early 30s standing partially turned toward board with phone raised to photograph it, attentive studying expression, woven bracelet visible on phone-holding left hand, fluorescent hallway light with slight vinyl glare on board surface, 35mm lens, documentary realism, authentic institutional setting.","Tess, Filipina, early 30s, navy scrubs, woven bracelet, badge, phone. Agency hallway — fluorescent. Rights board as key prop with clearly legible headers. Studying not suspicious expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Insert close on board to medium of Tess reading","COMPLETE"
"M01-S17","content","Pre-Visit Preparation: First Patient","Tess's car — parked in a residential street, morning. She sits in the driver's seat with the engine off. Her nursing bag is on the passenger seat beside her. A tablet is propped against the steering wheel — the EHR patient chart is open, showing a patient profile. She is reading. Her lips move slightly — she is silently rehearsing the patient's name. Her left hand rests on the steering wheel, the bracelet visible. Morning light through the windshield — slightly overcast, realistic suburban neighborhood visible through the glass. A residential house is partially visible through the passenger window — she is parked outside the patient's home. She touches the bracelet, glances in the rearview mirror once, and reaches for the door handle.","Photorealistic documentary medium close shot, interior of parked car in residential suburban street morning, Filipina nurse early 30s in driver's seat with engine off, nursing bag on passenger seat, tablet propped against steering wheel showing EHR patient profile, lips slightly moving while rehearsing patient name, left hand on steering wheel with woven bracelet visible, slightly overcast morning light through windshield, partial view of residential house through passenger window, 35mm lens, shallow depth of field on tablet and nurse, documentary realism, authentic pre-visit preparation.","Tess, Filipina, early 30s, navy scrubs, woven bracelet left wrist, badge, tablet. Interior of parked car — overcast morning light. Nursing bag on passenger seat. Residential neighborhood through windows. Pre-visit composure ritual.

BATCH 2 — SCENES S26, S27, S29, S30, S32–S39","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Close over-shoulder — tablet and hands in focus","COMPLETE"
"M01-S18-Q","challenge","Challenge 1: Cultural Preference vs Clinical Urgency — Question","","Photorealistic documentary image of nurse pausing at patient front door with chart and phone, subtle clinical urgency in posture, realistic residential exterior, natural morning light, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet visible. Neutral decision-moment expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","POV medium — door in background","NEEDS REVIEW — LTX/Detail missing"
"M01-S18-D","debrief","Challenge 1 Debrief: Rights and Urgency Are Not a Choice","","Photorealistic documentary image of nurse on phone outside residential home, supervisor call in progress, chart open, bracelet visible, natural morning light, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Escalation call posture — composed and purposeful.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — nurse at doorway with phone","NEEDS REVIEW — LTX/Detail missing"
"M01-S19","content","Handoff Under Pressure","","Photorealistic documentary frame of crowded morning nursing station huddle, Tess speaking while colleague talks over her, realistic fluorescent lighting, subtle tension in body language.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Composure under interruption — no exaggerated frustration.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide ensemble to medium close on Tess","NEEDS REVIEW — LTX/Detail missing"
"M01-S19-EC2","educator-commentary","Educator Side Comment: Handoff Safety","","Photorealistic documentary frame of crowded morning nursing station huddle, Tess speaking while colleague talks over her, realistic fluorescent lighting, subtle tension in body language.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Composure under interruption — no exaggerated frustration.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide ensemble to medium close on Tess","NEEDS REVIEW — LTX/Detail missing"
"M01-S20","content","Unsafe Shortcut Introduced","","Photorealistic documentary hallway scene with two clinicians in quiet tense discussion, realistic passive-aggressive dismissiveness from one, calm controlled posture from other, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet visible during pause. Coworker: male, mid-30s, impatient posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot","NEEDS REVIEW — LTX/Detail missing"
"M01-S20-EC3","educator-commentary","Educator Side Comment: Interpreter Shortcut Risk","","Photorealistic documentary hallway scene with two clinicians in quiet tense discussion, realistic passive-aggressive dismissiveness from one, calm controlled posture from other, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet visible during pause. Coworker: male, mid-30s, impatient posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot","NEEDS REVIEW — LTX/Detail missing"
"M01-S21","content","Mentor Review with Aldrin","","Photorealistic documentary image of two nurses reviewing chart notes together at nursing station, mentor pointing to documentation gap, warm concentrated expressions, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Aldrin: male Filipino-American, early 40s, calm mentor posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot profile","NEEDS REVIEW — LTX/Detail missing"
"M01-S22-Q","challenge","Challenge 2: Interpreter Workflow Timing — Question","","Photorealistic documentary scene of nurse pausing insulin teaching to activate interpreter service on phone, patient and daughter present, realistic home setting, natural lighting, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Patient: elderly non-English-proficient female. Daughter nearby.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium over-shoulder","NEEDS REVIEW — LTX/Detail missing"
"M01-S22-D","debrief","Challenge 2 Debrief: Interpreter Workflow Is a Safety Control","","Photorealistic debrief image — nurse on interpreter phone call with patient in realistic home setting, chart visible, natural light, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Interpreter call in session. Patient present — relaxed.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — nurse and patient at table with phone","NEEDS REVIEW — LTX/Detail missing"
