"Scene_ID","Slide_Type","Scene_Title","LTX23Dev_Video_Generation_Prompt","Estimated_Card_Duration","LTX_Generation_Count","Status"
"M01-S04","content","The Christmas Parol and What Home Sounds Like","Tess walks into the living room carrying her bag. Her footsteps slow. She stops in the middle of the room and turns her face toward the parol on the wall. She looks at it — two full seconds of stillness. She adjusts the bag strap on her shoulder. She turns away from the parol and walks toward the front door without looking back.","10","1","COMPLETE"
"M01-S05","content","Grandmother and the Bracelet","Tess enters the sala from the hallway, bag in hand. The grandmother, seated in the wooden chair, looks up. The grandmother opens her folded hands slightly — something small is revealed but not yet clearly visible. She gestures Tess closer with one hand. Tess sets her bag on the floor and moves to crouch beside the chair, bringing herself to the grandmother's eye level.

The grandmother's hands wrap the thin bracelet carefully around Tess's left wrist. She ties a simple knot — deliberate, unhurried. She holds the knot for a moment, then wraps both of her hands around Tess's. She looks up at Tess and speaks quietly — two sentences. Tess's eyes are slightly wet but she does not cry. She nods. The grandmother squeezes Tess's hands once and releases them.

The grandmother rests her right hand on Tess's head for a moment, then speaks softly — one sentence. Tess closes her eyes briefly, then opens them and nods. She stands slowly. She picks up her bag from the floor. Her right hand finds the new bracelet on her left wrist — she touches it once with her fingers. She looks at her grandmother. Then she turns toward the front door.","35","4","COMPLETE"
"M01-S06","content","Tess at Work: The Philippine Clinic","Tess points to a section of the wound care tray while explaining a step. She pauses mid-sentence and raises her left hand in a gentle pause gesture. She looks at the patient and speaks — the ask to repeat back. The patient hesitates, then begins to describe the steps slowly. Tess listens, tilting her head slightly. The patient's description is mostly correct but one step comes in a different order. Tess's expression registers the discrepancy — she nods but does not interrupt yet.

Tess finishes a re-demonstration of the one step the patient had inverted. She looks at the patient and asks her to describe it again. The patient nods and describes it correctly this time. Tess smiles briefly and begins writing in her chart. The daughter uncrosses her arms and takes a small step forward. Tess continues writing — unhurried. She looks up and delivers one final instruction to the patient. She closes the chart.","27","4","COMPLETE"
"M01-S07","content","Po and Opo — The Language of Respect","Tess walks down the clinic hallway. An elderly male patient with a cane approaches the doorway from the other side. Without pausing, Tess steps aside, holds the door frame, and gestures him through with a natural brief hand movement. The patient nods slowly as he passes. Tess lets the door go and continues walking down the hallway.","10","1","COMPLETE"
"M01-S08","content","Packing the Bag","Tess places a labeled folder into the nursing bag, smoothing it flat. She picks up the small sinigang container, looks at it briefly, and places it beside the folder. She picks up the white cloth beside her knee, carefully removes the bracelet from her left wrist, wraps it in the cloth, and tucks the wrapped bracelet into the bag's inner pocket. She zips the pocket closed.","15","2","COMPLETE"
"M01-S09","content","Airport: The Goodbye That Does Not Ask for Crying","The mother hands the boarding pass back to Tess after re-checking. The kuya presses a small envelope into Tess's hand — she pockets it. The tita steps forward and slides something into Tess's jacket pocket. The grandmother tightens her hold on Tess's right hand. Tess looks at her. The grandmother says something quietly, then releases her hands. Tess picks up her bag, turns, and walks toward the security line without looking back.","15","2","COMPLETE"
"M01-S10","content","Landing: The First Cultural Shock","Tess walks through the arrivals hall, looking at her printed address. She glances at the departure board. A traveler brushes past her without acknowledgment. She adjusts her bag strap and continues walking. Cut to: the furnished room. Tess stirs the noodles, looks at the phone screen showing the parol through the video call. She watches. The connection pixelates. She leans slightly closer to the screen, waiting for it to clear.","15","2","COMPLETE"
"M01-S11","content","First Week: The System Is Different","Tess scrolls through the EHR patient record, stops at an unfamiliar field, opens her notebook, and writes the field name. She looks back at the screen, finds another unfamiliar abbreviation, writes that too. She tabs to a new screen. She writes again. Her pace is steady — not rushed, not panicked. Just methodical.","12","2","COMPLETE"
"M01-S12","content","First Grocery Store and Small Shocks","Tess stands in the rice aisle looking at the bag in her hand. She turns it over, reading the label. She looks at the shelf — scanning. Doesn't find what she was looking for. She places the bag in her cart. She picks up her phone, raises it, photographs the bag in the cart. She looks at the photo for a moment, then begins typing a text message.","12","2","COMPLETE"
"M01-S13","content","Resilience in Practice","Tess sits at the break room table with her coffee. She hears voices from the hallway — she glances through the doorway. The male nurse is gesturing and venting to a colleague. Tess watches for a moment, expression neutral. She looks down at her coffee, takes a sip. She picks up her notebook from the table and writes a brief note.","12","2","COMPLETE"
"M01-S13-EC1","educator-commentary","Educator Side Comment: First Contact Signal","Static or near-static hold on Tess seated at the break room table, coffee mug in both hands, bracelet visible. She looks toward the hallway doorway — calm, observational. A very slow push-in toward her face over the card duration. The instructor overlay banner fades in at the bottom of frame. No sudden movement. The card ends on her expression held still.","10","1","COMPLETE"
"M01-S14","content","Agency Orientation: Reading the Policies with New Eyes","Tess turns a page in the binder, reads, and raises the highlighter to mark a line. She reads the next line, marks it too. She flips to a tabbed section, finds the anti-retaliation clause, and reads it twice — moving her lips slightly on the second read. She pauses. Writes a brief note in the margin with a pen.","12","2","COMPLETE"
"M01-S15","content","First Handoff: A New Rhythm","The charge nurse points to a whiteboard entry and speaks. Tess raises her hand. The charge nurse looks at her, answers in two sentences without stopping her pace, and moves to the next entry. Tess writes quickly in her notebook. Aldrin, two people away, glances at Tess and gives a small nod. The huddle continues.","15","2","COMPLETE"
"M01-S16","content","The Rights Board: Rules Become Real","Tess walks past the hallway board, slows, and stops. She reads the top headers — her gaze tracking down from ""Patient Rights"" to ""Language Access"" to ""Interpreter Services."" She pauses on one entry, reads it again. She raises her phone and takes a photo. She lowers the phone and looks at the photo she just took, then looks back at the board once more.","12","2","COMPLETE"
"M01-S17","content","Pre-Visit Preparation: First Patient","Tess scrolls through the tablet chart in her parked car. She stops on the patient's name, mouths it once. Then again. She checks her watch. She closes the tablet cover and sets it on the passenger seat. She touches her bracelet with her right hand — holds it briefly. Looks at the house through the window. Reaches for the door handle and opens it.","15","2","COMPLETE"
"M01-S18-Q","challenge","Challenge 1: Cultural Preference vs Clinical Urgency — Question","Tess walks up the porch steps. The daughter opens the front door partway and begins speaking — respectful but firm posture, one hand on the door frame. Tess stops on the top step, adjusts her nursing bag strap slightly, and listens without interrupting. She nods once, slowly. Her right hand moves toward her tablet as if preparing to note something. The daughter continues speaking. Tess remains still, listening.

From Tess's perspective at the doorway: the daughter steps slightly to the side while speaking, opening the view into the room. Mr. Henderson lies still in the hospital bed — his leg elevated, the wound dressing visible. Tess's gaze moves from the daughter's face to the patient's elevated leg. Her hand tightens slightly on the tablet. She takes a breath — slow, controlled. The daughter keeps speaking in the background.

Tess looks at the daughter, then shifts her gaze through the doorway to the patient in the hospital bed. She reaches into her nursing bag side pocket and withdraws her phone. She looks at the phone screen, then back at the daughter. She speaks — calm, one measured sentence — while holding the phone up slightly as if indicating she needs to make a call. The daughter pauses her explanation and watches Tess.","32","4","COMPLETE"
"M01-S18-D","debrief","Challenge 1 Debrief: Rights and Urgency Are Not a Choice","Aldrin holds up the printed chart page and taps a specific field with his pen — the escalation field. He speaks — calm, direct, approving. Tess leans slightly forward to look at the field. She nods. Aldrin sets the page flat on the desk between them, taps it once more, then picks up his coffee mug. He looks at Tess and says one more sentence. A small nod between them — professional acknowledgment. Tess turns back to her workstation.

The camera focuses on the EHR screen as Tess scrolls through the completed chart entry. She clicks on the escalation field to expand it — the supervisor's name, call time, and response are visible. She reads, then scrolls to the accommodation field. She reads that too. She leans back in the chair slightly. In the background, Aldrin picks up his coffee and walks away toward another workstation. Tess turns back to the screen and closes the chart.

Close on hands: Tess writes the supervisor's name in the ""Escalation Contact"" field on the paper form. She pauses, looks at her tablet screen, types a few words into the EHR entry, then returns to the paper form and writes in the ""Follow-Up Plan"" field. Her bracelet shifts as she writes. She sets the pen down, picks up her phone from the table, dials a number, and puts it to her ear — the escalation call beginning.","39","6","COMPLETE"
"M01-S19","content","Handoff Under Pressure","The charge nurse speaks and points to a whiteboard entry. Tess opens her mouth to ask a question — the male coworker beside her begins talking at the same moment, his voice overlapping. The charge nurse turns toward the coworker and responds to his comment, then moves on to the next item on the board. Tess closes her mouth. She looks at the whiteboard entry she was asking about, then writes something quickly in her notebook. She underlines it.

Close on the notebook: Tess's pen underlines the allergy notation she wrote the previous night — deliberate, one stroke. She looks up toward the whiteboard. The allergy column beside the patient's name is blank. Her eyes narrow slightly. She writes a second notation beside the underlined entry — a question mark and ""verify before visit."" She looks at the charge nurse — waiting for a pause in the huddle to interject.","22","3","COMPLETE"
"M01-S19-EC2","educator-commentary","Educator Side Comment: Handoff Safety","The huddle breaks up — two clinicians walk away with clipboards, one picks up a tablet. Tess remains at the whiteboard. She picks up the dry-erase marker from the tray and writes the allergy information into the blank field — neat, deliberate. She caps the marker and returns it to the tray. She takes a photo of the whiteboard with her phone. Then she turns and walks toward her own workstation.","10","1","COMPLETE"
"M01-S20","content","Unsafe Shortcut Introduced","The coworker leans toward Tess slightly and speaks in a low voice — one hand gesturing casually as he explains the shortcut. Tess listens. Her right hand finds the bracelet on her left wrist — her fingers touch it, rolling the thread briefly. She doesn't respond immediately. The coworker shrugs and raises his eyebrows — ""your call"" energy. Tess inhales slightly and begins to respond.

Close on Tess's hand: her fingers find the bracelet and roll the thread between thumb and forefinger — a small, unconscious movement. She holds it for two full seconds. Then her hand drops away from the bracelet. Cut slightly wider: Tess straightens her posture. She looks at the coworker and speaks — one sentence, calm and definitive. The coworker raises both hands in a ""fine, your call"" gesture and turns, walking back toward the nursing station.","22","3","COMPLETE"
"M01-S20-EC3","educator-commentary","Educator Side Comment: Interpreter Shortcut Risk","Tess sits at her desk, dials a number on her phone, and waits — phone to her ear. Someone answers. She speaks briefly, listens, and writes an interpreter ID number on the sticky note. She sticks the note to the edge of her tablet. She types the ID into the EHR language preference field on screen. She sets the phone down, reads the completed field on screen, and closes that tab. The process takes the full ten seconds — unhurried and methodical.","10","1","COMPLETE"
"M01-S21","content","Mentor Review with Aldrin","Aldrin holds the printed chart flat on the desk and taps the blank comprehension field with his pen — once. He speaks quietly — one sentence. Tess leans forward, reads the field label. Her expression shifts — a slight wince of recognition. She nods once. Aldrin sets the page down between them and picks up his coffee. He looks at Tess and says one more sentence — matter of fact, not punishing. Tess picks up her pen and makes a note on her own notepad.","12","2","COMPLETE"
"M01-S22-Q","challenge","Challenge 2: Interpreter Workflow Timing — Question","The daughter speaks to Tess while gesturing toward her mother, who nods and smiles at Tess. Tess listens, looks at the patient's face, then looks at her tablet. She sets the teaching folder down on the side table beside the insulin supplies. She reaches into her nursing bag side pocket for her phone. The daughter watches — slightly confused — as Tess begins to dial.

Tess holds up her phone and speaks to the daughter — one hand raised in a gentle ""one moment"" gesture toward the insulin teaching materials on the table, indicating the session is paused. The daughter tilts her head, nods slowly. Tess selects a contact and puts the phone to her ear. She looks at the patient and gives a brief, reassuring smile while waiting for the interpreter line to connect. The daughter pulls a nearby chair around and sits down to wait.","24","4","COMPLETE"
"M01-S22-D","debrief","Challenge 2 Debrief: Interpreter Workflow Is a Safety Control","The follow-up clinician looks at the pill organizer, then at the tablet chart, then back at the organizer. She picks up the insulin pen from the table and checks the dosage dial setting against the chart entry. Her brow furrows. She sets the pen down and looks at the patient, asking a question. The patient shakes her head slowly and points to the pill organizer — confused. The clinician reaches for her phone.

The phone on the coffee table has a call active — the interpreter's voice is implied but not seen. The patient holds the insulin pen and demonstrates the injection steps, speaking through the interpreter. Tess watches the demonstration closely, nods once, and begins writing in her chart. The daughter sits quietly to the side, hands in her lap — observing but not participating. Tess writes the final notation, looks up at the patient, and gives a confirming nod. She picks up the phone and ends the interpreter call.","27","4","COMPLETE"
"M01-S23","content","Consequence Scene: Medication Confusion","Tess points to the evening pill organizer slot and asks the patient to confirm what time she takes this dose. The patient points to the morning slot and explains — this is her morning pill. Tess looks at the organizer, then at her chart, then back. She pauses. She picks up her phone from the table and dials — speaking to her supervisor while looking at the organizer and the chart simultaneously. The patient watches her quietly.","15","2","COMPLETE"
"M01-S24","content","Breakroom Microaggression","Three coworkers are mid-laugh at the break room table. Tess appears in the doorway. The room goes quiet — the male coworker's laugh cuts off mid-breath. The female coworker looks down at the table. The third person looks away. Tess's expression does not change. She walks to the coffee maker, fills her mug, turns, and walks back out of the doorway without speaking. The three at the table exchange glances.","15","2","COMPLETE"
"M01-S24-EC4","educator-commentary","Educator Side Comment: Documentation Gap Escalation Trigger","Static hold on the workstation: Tess's eyes move between the two conflicting chart entries on screen. She makes a note on her notepad — two words, circled. The instructor overlay banner fades in at the bottom of frame. Near-static. Slow zoom toward the screen's highlighted discrepancy fields. Card ends with both the screen and Tess's expression in frame.","10","1","COMPLETE"
"M01-S25-Q","challenge","Challenge 3: Bystander Duty and Reporting — Question","Tess sits at her desk and pulls up the incident report form on screen. She picks up a pen and writes on the sticky note — a name, then a time, then a location. She pauses, recalls the exact phrasing she heard, and writes it in quotation marks on the note. She sticks the note to the monitor frame. She turns to the keyboard and begins typing the incident report — methodical and unhurried. She references the sticky note for the quoted phrase as she types.","15","2","COMPLETE"
"M01-S25-D","debrief","Challenge 3 Debrief: Professional Correction Is Mandatory","Inside the HR office: the HR representative slides both printed incident reports toward the coworker, pointing to the second report. She speaks — measured, procedural. The coworker shifts in his chair, arms tightening across his chest. The HR representative points to a specific section on the first report — Tess's. Through the glass panel in the door: Tess walks past in the hallway, nursing bag on shoulder, not looking toward the office. The HR representative slides the corrective action form across the table to the coworker.","15","2","COMPLETE"
"M01-S26","content","Supervisor Coaching: Objective Reporting Language","The supervisor leans slightly forward and taps the Behavioral Description field on the incident report form with one finger. She speaks — deliberate, instructional pace, not rushed. Tess writes in her notebook. The supervisor taps the field a second time and adds a sentence. Tess underlines something she just wrote. Aldrin nods once from his chair. The supervisor picks up the incident report form from the desk, turns it toward Tess and Aldrin so both can read it, holds it upright for a moment, then sets it back down and slides it across the desk toward Tess.","15","2","COMPLETE"
"M01-S26-EC5","educator-commentary","Educator Side Comment: Corrective Action Process","Near-static hold on the supervisor's desk scene: the supervisor's hand rests on the incident report form with one finger on the Behavioral Description field. Tess writes in her notebook. The instructor overlay banner fades in at the bottom. Very slow push-in toward the form on the desk. Card ends with the Behavioral Description field clearly in frame alongside the coaching tableau.","10","1","COMPLETE"
"M01-S27","content","Documentation Audit Moment","Tess scrolls through the EHR patient record on screen. She stops when the Language Preference field comes into view — the field is blank. She looks at the patient name at the top of the record, then scrolls to the Interpreter Services field — also blank. She clicks the second browser tab. Same blank fields, different patient name. She places her pen on the desk, picks up her phone from beside the keyboard, and looks at it — visibly deciding whether to call now or send a message. She puts the phone back down, opens a new sticky note application on her screen, and begins typing.","12","2","COMPLETE"
"M01-S27-EC6","educator-commentary","Educator Side Comment: Retaliation Early Warning","Near-static hold on Tess standing at her workstation, phone in hand, reading the sticky note she has just written. She turns it slightly toward the camera so the quoted text is partially readable. The instructor overlay banner fades in at the bottom. She holds the note still — not moving, just holding the record. Card ends on the sticky note in close frame.","10","1","COMPLETE"
"M01-S28-Q","challenge","Challenge 4: Corrective Documentation — Question","Tess scrolls through the first patient chart on screen, finds the blank language preference field, and opens the addendum template. She types a timestamp and ""Late Entry"" notation. She references a sticky note on the monitor for the interpreter details and types them into the addendum field. She switches to the second chart tab and begins the same process. She glances at the clock — 6:15 PM. She continues typing, unhurried.","15","2","COMPLETE"
"M01-S28-D","debrief","Challenge 4 Debrief: Defensible Correction Has a Sequence","The QA auditor flips between two printed chart pages on her desk. She finds a date discrepancy — the note content and the EHR metadata timestamp don't match. She picks up her red pen and circles the timestamp on the printed page. She looks at her monitor, types something, looks back at the printed page. She shakes her head slightly — a micro-expression of professional concern. She pulls a third chart from the stack and begins comparing.","12","2","COMPLETE"
"M01-S29","content","Mentor Lesson: Survey Defensibility","Aldrin holds his coffee cup with both hands on his knee, leans slightly forward, and speaks — measured pace, calm tone, three sentences. Tess listens without writing. Aldrin pauses, looks at his coffee cup for a moment, takes a sip, sets the cup back on the table. He looks back at Tess and says one more sentence — the final point. Tess's pen moves to her notebook page and she writes a single short phrase. She looks up at Aldrin. He nods once, picks up his cup again.","15","2","COMPLETE"
"M01-S30","content","Near-Miss Escalation","Tess points to the pill organizer morning slots and asks Mr. Henderson to describe how he takes his medication. He begins explaining — pointing first to the morning slot, then to a second slot. Tess looks down at her tablet, scrolls between two visit notes, pauses. She looks up at him. He is still holding the pill raised. Tess places her right hand flat on the pill organizer — a calm, quiet ""wait."" Mr. Henderson lowers the pill. Tess picks up her phone from the table and dials. She speaks to her supervisor while looking at the pill organizer and the tablet screen simultaneously.","15","2","COMPLETE"
"M01-S31-Q","challenge","Challenge 5: Teach-Back Under Risk — Question","Mr. Henderson looks at the pill on the table in front of him, then back at Tess. Tess holds up the tablet showing him the two conflicting entries and speaks one sentence of explanation — calm, brief. He nods. She sets the tablet down, picks up her phone, and dials. She puts the phone to her ear while keeping her eyes on him. She speaks to her supervisor — two sentences — while her left hand picks up the tablet again to reference the conflicting entries during the call.","15","2","COMPLETE"
"M01-S31-D","debrief","Challenge 5 Debrief: Near-Miss Requires Same-Visit Response","Mr. Henderson looks at the pill on the table in front of him, then back at Tess. Tess holds up the tablet showing him the two conflicting entries and speaks one sentence of explanation — calm, brief. He nods. She sets the tablet down, picks up her phone, and dials. She puts the phone to her ear while keeping her eyes on him. She speaks to her supervisor — two sentences — while her left hand picks up the tablet again to reference the conflicting entries during the call.","15","2","COMPLETE"
"M01-S32","content","Formal Grievance Trigger","The supervisor speaks on the phone while reading from the grievance intake form on screen. She writes the routing number on her notepad. She nods once during the call, writes a date beside the routing number. She reads something aloud from the screen — a short phrase. She writes again. Through the open door behind her: Tess at the workstation writes in her chart, taps her tablet screen, writes again. Tess does not look toward the office. The supervisor finishes writing, sets down the pen, and continues the call.","12","2","COMPLETE"
"M01-S33","content","Leadership Process: Fair and Documented","The supervisor taps a printed visit note with her finger and speaks. The HR representative writes on her legal notepad. The compliance officer looks up from his laptop, asks a question — two words. The supervisor picks up a second printed document — the patient care timeline — and points to a date entry near the top. The HR representative reaches across and photographs the timeline with her phone camera. The compliance officer types something on his laptop, then writes on his legal pad. No one speaks for a moment — all three working simultaneously.","12","2","COMPLETE"
"M01-S34","content","Corrective Action and Coaching","The HR representative places the Performance Improvement Plan on the desk surface and turns it to face the coworker. He leans forward and begins reading — his eyes tracking down the page. He reaches the bottom of the visible section, looks up at the HR representative, and says something. She responds — points to a specific section midway down the document. He looks back at the document, reads that section. He picks up the pen from the desk. He signs the signature line at the bottom. He sets the pen down. The HR representative reaches across and takes the document.","12","2","COMPLETE"
"M01-S34-EC7","educator-commentary","Educator Side Comment: Inclusion to Operations Bridge","Near-static hold on the conference table: the documents are spread across the surface, one highlighted by the supervisor's hand. The instructor overlay banner fades in at the bottom. Slow push-in toward the investigation timeline on the whiteboard. Card ends with the timeline arrows and dates in partial close frame.","10","1","COMPLETE"
"M01-S35","content","Tess Reflection Under Pressure","Tess pushes through the agency's glass exit door into the parking lot. She shifts her nursing bag from one shoulder to the other. Her right hand finds the bracelet on her left wrist — fingers fold around the thread loosely as she walks. She holds it for two steps, then releases it. She reaches her car, opens the back door, and sets the nursing bag on the back seat. She closes the back door, opens the driver's door, and gets in.","12","2","COMPLETE"
"M01-S36","content","Transition to Mastery","Mr. Henderson speaks — more freely than in the S18 scene, his hands moving slightly as he talks. Tess nods, asks a question, types something on her tablet. Mr. Henderson reaches for his coffee cup on the end table, takes a sip, and continues speaking. Tess writes a note on the tablet, looks up, asks another question. He responds. The interaction has an established rhythm — not tentative.","12","2","COMPLETE"
"M01-S37","content","Communication Adapted, Identity Preserved","Tess holds the tablet toward Mr. Henderson, pointing to a specific entry on the screen with her right hand. He leans forward slightly in the recliner to look at it. He asks a question — his second in this visit. Tess nods, swipes to a different screen on the tablet, then gestures with her right hand while explaining — pointing to the new screen and then to him alternately. Mr. Henderson leans back into the recliner, nods — understanding entering his expression. He asks a follow-up. Tess answers in two sentences, gesturing once.","12","2","COMPLETE"
"M01-S38","content","Interpreter Workflow Executed Correctly","Mr. Henderson holds the insulin pen and points to the injection site on his abdomen, speaking through the interpreter on the phone. Tess watches him, nods once, and begins writing in her chart. She glances at a sticky note on the edge of her tablet — reads the interpreter ID — and writes it into the chart. Mr. Henderson sets the pen down on his knee — the demonstration is complete. He looks at Tess. Tess finishes writing, looks up, and says one confirming sentence. She reaches for the phone and ends the interpreter call.","12","2","COMPLETE"
"M01-S38-EC8","educator-commentary","Educator Side Comment: What Documentation Must Capture","Near-static hold on the teach-back moment: Mr. Henderson holds the insulin pen pointed at the injection site while Tess writes in her chart. The phone on the coffee table shows an active call. The instructor overlay banner fades in at the bottom. Very slow push-in toward Tess's chart page where she is writing the interpreter ID. Card ends on the pen moving across the chart field.","10","1","COMPLETE"
"M01-S39","content","Trust Rebuilt Through Clarity","Mr. Henderson speaks one sentence at the door — his expression open, genuine, measured. Tess smiles briefly — a small real expression that settles quickly — and responds with one sentence. His daughter in the hallway behind him smiles slightly. Tess gives a small nod, adjusts her bag strap with her right hand, and steps down from the porch. Mr. Henderson watches her for a moment, then slowly closes the front door.","10","1","COMPLETE"
"M01-S40-Q","challenge","Challenge 6: Integrated Workflow Sequencing — Question","Tess steps into the living room. The family member speaks — gestures toward the coffee table, then toward her mother. Tess looks at the patient. The patient shifts slightly in the wheelchair and winces — a brief tightening. The family member continues speaking, not noticing. Tess does not follow the family member's gesture toward the table. She steps toward the patient, sets her nursing bag on the floor beside the wheelchair, and kneels slightly to eye level. She speaks to the patient directly — one brief, simple question.","15","2","COMPLETE"
"M01-S40-D","debrief","Challenge 6 Debrief: Right Steps, Right Order","Tess steps into the living room. The family member speaks — gestures toward the coffee table, then toward her mother. Tess looks at the patient. The patient shifts slightly in the wheelchair and winces — a brief tightening. The family member continues speaking, not noticing. Tess does not follow the family member's gesture toward the table. She steps toward the patient, sets her nursing bag on the floor beside the wheelchair, and kneels slightly to eye level. She speaks to the patient directly — one brief, simple question.","15","2","COMPLETE"
"M01-S41","content","Independent Shift Preparation","Aldrin holds up the printed assignment sheet and nods once at Tess — professional approval, no theater. He says something brief — two words. Tess nods back. She shifts the nursing bag strap on her shoulder and touches the bracelet on her wrist briefly with her right hand. Aldrin turns back to his workstation. Tess walks toward the exit door without looking back. The camera stays on the exit door as it closes behind her.","12","2","COMPLETE"
"M01-S41-EC9","educator-commentary","Educator Side Comment: Readiness Judgment","Near-static hold on the exit door closing behind Tess. Her silhouette is visible through the door glass as she walks away down the hallway. Aldrin is a blurred figure at his workstation in the background. The instructor overlay banner fades in at the bottom. The door finishes closing. The frame holds on the closed door for one beat.","10","1","COMPLETE"
"M01-S42","challenge","Final Assessment Q1: Barrier Prioritization","Tess writes a structured entry in the first patient section of the clipboard form. She sets the pen down, picks up her phone, and dials a number. She speaks briefly — the interpreter activation call — then writes a number on the clipboard form beside a field label. She moves to the second patient section and writes a short follow-up note. She picks up the phone again and sends a text. She moves to the third patient section, writes supply confirmation notes. She sets the pen down, picks up her car keys, looks at the clipboard once more, then lifts the nursing bag from the floor.","15","2","COMPLETE"
